Alimento a base de almendras (le che de almendras),frutas secas y semillas,36,0.4,1.0,6.2
Almendra,frutas secas y semillas,570,21.2,49.9,9.1
Avellana,frutas secas y semillas,631,12.7,60.9,8.0
Maní tostado salado,frutas secas y semillas,596,24.4,49.7,12.9
Maní tostado sin sal,frutas secas y semillas,596,24.4,49.7,12.9
Mantequilla de maní,frutas secas y semillas,607,21.9,49.5,18.3
"Mix de frutos secos, semillas y pasas de uva",frutas secas y semillas,515,14.1,36.1,33.5
Nuez,frutas secas y semillas,690,13.9,67.4,7.0
Pistacho salado,frutas secas y semillas,566,21.1,45.8,17.3
Semilla de amapola,frutas secas y semillas,481,18.0,41.6,8.6
Semilla de chía,frutas secas y semillas,374,16.5,30.7,7.7
Semilla de girasol,frutas secas y semillas,592,20.8,51.5,11.4
Semilla de girasol con sal y con cáscara,frutas secas y semillas,586,19.3,49.8,15.1
Semilla de lino,frutas secas y semillas,459,18.3,42.2,1.6
Semilla de sésamo,frutas secas y semillas,565,17.7,49.7,11.7
Semilla de zapallo,frutas secas y semillas,581,30.2,49.1,4.7
