Alfajor de arroz,golosinas y chocolates,486,6.8,26.8,54.5
Alfajor de chocolate,golosinas y chocolates,411,6.3,14.1,64.6
Alfajor de chocolate con relleno tipo mousse,golosinas y chocolates,540,7.4,31.0,57.8
Alfajor de dulce de leche,golosinas y chocolates,381,6.6,8.9,68.5
Alfajor de fruta,golosinas y chocolates,387,2.2,8.9,74.5
Alfajor de maicena,golosinas y chocolates,405,6.3,13.4,64.9
Alfajor de miel,golosinas y chocolates,303,7.6,3.2,60.9
Alfajor light,golosinas y chocolates,300,6.7,10.0,45.7
Bananita con cobertura de cho colate,golosinas y chocolates,379,2.9,10.0,69.3
Baño de repostería para cubrir tortas,golosinas y chocolates,564,7.8,37.0,50.0
Barra de arroz rellena bañada,golosinas y chocolates,501,10.0,24.5,60.0
Barra de chocolate tipo Kinder,golosinas y chocolates,552,9.6,34.0,52.0
Bocadito con dulce de leche tipo Cabsha,golosinas y chocolates,427,5.3,13.1,72.2
Bombón tipo Bon O Bon,golosinas y chocolates,556,10.0,36.0,48.0
Bombones de fruta,golosinas y chocolates,327,0.3,0.1,81.1
Cacao amargo*,golosinas y chocolates,285,19.6,13.7,20.9
Cacao en polvo sin fortificar*,golosinas y chocolates,383,6.7,4.0,80.0
Cacao en polvo tipo Nesquick*,golosinas y chocolates,336,5.4,0.0,78.6
Caramelos duros,golosinas y chocolates,394,0.0,0.2,98.0
Caramelos duros light,golosinas y chocolates,236,0.0,0.0,98.6
