Caramelos masticables,golosinas y chocolates,398,0.9,6.0,85.1
Caramelos rellenos,golosinas y chocolates,394,0.0,0.2,98.0
Chicles,golosinas y chocolates,380,0.0,0.3,94.3
Chicles sin azúcar,golosinas y chocolates,256,0.0,0.4,63.0
Chocolate 60% cacao o más,golosinas y chocolates,547,6.1,38.3,44.4
Chocolate amargo,golosinas y chocolates,575,14.3,52.3,11.8
Chocolate blanco,golosinas y chocolates,548,5.9,32.1,59.0
Chocolate con almendras,golosinas y chocolates,534,9.0,34.4,47.2
Chocolate con maní,golosinas y chocolates,542,10.2,33.2,50.5
Chocolate light,golosinas y chocolates,566,10.0,35.9,50.6
Chocolate para taza,golosinas y chocolates,519,4.2,30.0,58.0
Chocolatín / chocolate con leche,golosinas y chocolates,522,7.7,29.7,56.0
Chupetín,golosinas y chocolates,394,0.0,0.2,98.0
Conito de dulce de leche enva sado,golosinas y chocolates,413,5.4,17.1,59.5
Cubanito relleno,golosinas y chocolates,506,5.6,22.2,71.0
Garrapiñada de maní,golosinas y chocolates,539,15.5,33.7,43.3
Gomitas de gelatina,golosinas y chocolates,374,0.0,0.1,93.4
Huevo de chocolate tipo Kinder,golosinas y chocolates,538,8.0,34.0,50.0
Lentejas de chocolate,golosinas y chocolates,485,5.2,20.0,71.0
Maní con chocolate,golosinas y chocolates,534,13.1,33.5,45.0
