Medallón de menta y chocolate,golosinas y chocolates,545,5.0,24.0,77.1
Merengues / merenguitos,golosinas y chocolates,347,5.8,0.1,80.8
Minitorta bañada,golosinas y chocolates,403,7.6,17.0,55.0
Oblea bañada tipo Kit Kat,golosinas y chocolates,514,6.5,26.0,63.6
Obleas bañadas tipo Nugaton,golosinas y chocolates,514,6.5,26.0,63.6
Pasas de uva con chocolate,golosinas y chocolates,411,4.1,14.8,65.3
Pastillas,golosinas y chocolates,336,0.0,0.0,84.0
Pastillas sin azúcar,golosinas y chocolates,380,0.0,0.0,95.0
"Postre a base de pasta de maní, tipo Mantecol",golosinas y chocolates,526,13.5,32.0,46.0
Rhodesia,golosinas y chocolates,519,4.0,29.3,59.9
Tableta de dulce de leche,golosinas y chocolates,339,6.0,6.0,65.2
Tableta de dulce de leche light,golosinas y chocolates,316,5.9,0.0,73.2
Tita,golosinas y chocolates,506,5.7,24.0,66.7
