Aceto balsámico,aderezos,70,0.5,0.0,17.0
Aderezo Caesar o Ranch,aderezos,380,2.2,40.0,2.8
Aderezo para ensaladas light,aderezos,18,0.0,0.0,4.6
"Jugo de limón, envasado",aderezos,22,0.5,0.1,4.9
Ketchup,aderezos,113,1.0,0.1,27.1
Mayonesa,aderezos,391,0.6,40.0,7.1
Mayonesa de soja,aderezos,212,0.6,19.2,9.2
Mayonesa light,aderezos,270,0.9,19.0,10.0
Mostaza,aderezos,52,3.7,3.3,1.8
"Salsa a base de tomate en tetra brick o sachet, lista para consumir (ej: pomarola, napolitana, con o sin verdeo, etc.)",aderezos,42,1.0,1.3,6.6
Salsa agridulce,aderezos,154,0.3,0.0,38.1
Salsa barbacoa,aderezos,168,0.8,0.6,39.9
Salsa blanca en polvo envasada,aderezos,347,8.2,8.7,59.0
Salsa chimichurri envasada,aderezos,23,0.0,0.0,5.8
Salsa de soja,aderezos,62,7.0,0.5,7.3
"Salsa deshidratada varios sabores, polvo",aderezos,349,9.5,11.9,51.0
Salsa Golf,aderezos,320,0.9,29.4,12.8
Vinagre,aderezos,1,0.0,0.0,0.3
