Caldos en cubo,caldos y sopas industriales,269,4.4,20.6,16.5
Caldos en polvo,caldos y sopas industriales,107,4.1,1.4,19.4
Caldos en polvo light,caldos y sopas industriales,171,18.0,3.0,18.0
Caldos en polvo sin sal light,caldos y sopas industriales,345,9.0,1.4,74.0
Saborizador en cubos,caldos y sopas industriales,366,6.0,26.0,27.0
Saborizador en polvo,caldos y sopas industriales,160,0.0,0.0,40.0
Sopa crema instantánea prepa rada,caldos y sopas industriales,19,0.2,0.3,3.9
"Sopa crema instantánea, polvo para preparar (sabores varios)",caldos y sopas industriales,350,4.4,5.9,69.7
"Sopa crema instantánea, polvo para preparar light (sabores va rios)",caldos y sopas industriales,307,6.1,4.3,60.9
Sopa crema preparada a partir de polvo premezcla light,caldos y sopas industriales,23,0.7,0.2,4.6
Sopa crema preparada a partir de polvo premezcla sin sal light,caldos y sopas industriales,23,0.7,0.2,4.6
Sopa de fideos deshidratada en vasada para preparar,caldos y sopas industriales,450,10.9,18.7,59.4
"Sopa de vegetales instantánea, polvo para preparar",caldos y sopas industriales,351,3.6,6.7,69.0
