"Acelga, cruda",verduras,18,1.8,0.2,2.1
"Acelga, hervida",verduras,16,1.9,0.1,2.0
"Acelga, pencas, crudas",verduras,8,1.2,0.1,0.6
"Acelga, pencas, hervidas",verduras,8,1.2,0.1,0.6
"Achicoria, cruda",verduras,12,1.6,0.3,0.7
"Achicoria, hervida",verduras,12,1.6,0.3,0.7
Ají en conserva,verduras,20,1.1,0.3,3.2
"Ají rojo / morrón rojo, crudo",verduras,22,1.0,0.3,3.9
"Ají rojo / morrón rojo, rehogado",verduras,22,1.0,0.3,3.9
"Ají verde o amarillo / morrón verde o amarillo, crudo",verduras,17,0.9,0.2,2.9
"Ají verde o amarillo / morrón verde o amarillo, rehogado",verduras,17,0.9,0.2,2.9
"Ajo, crudo",verduras,91,4.4,0.2,17.9
"Albahaca, cruda",verduras,23,3.2,0.6,1.1
"Alcaparras, encurtido",verduras,24,2.4,0.9,1.7
"Alcaucil, crudo",verduras,41,2.9,0.4,6.5
"Alcaucil, hervido",verduras,40,2.9,0.3,6.3
"Apio, crudo",verduras,10,0.7,0.2,1.4
"Apio, hervido",verduras,14,0.8,0.2,2.4
"Arveja, enlatada",verduras,104,6.0,0.8,18.3
"Arveja, fresca, cruda",verduras,83,8.9,0.4,10.9
