"Arveja, fresca, hervida",verduras,64,5.4,0.2,10.1
"Berenjena, cruda",verduras,16,1.1,0.2,2.5
"Berenjena, hervida",verduras,30,0.8,0.2,6.2
"Berro, crudo",verduras,18,1.7,0.3,2.2
"Brócoli, crudo",verduras,27,3.3,0.2,2.9
"Brócoli, hervido",verduras,29,2.4,0.4,3.9
"Brotes de soja, crudo",verduras,30,3.0,0.2,4.1
"Brotes de soja, rehogado",verduras,54,4.3,0.2,8.7
"Cebolla de verdeo, cruda",verduras,28,1.8,0.2,4.7
"Cebolla de verdeo, rehogada",verduras,29,1.9,0.2,4.9
"Cebolla, cruda",verduras,36,1.1,0.1,7.6
"Cebolla, rehogada",verduras,36,1.1,0.1,7.6
"Champignones, enlatados",verduras,21,1.9,0.3,2.7
"Champignones, frescos, crudos",verduras,24,3.1,0.3,2.3
"Chaucha, fresca, cruda",verduras,29,2.4,0.2,4.3
"Chaucha, fresca, hervida",verduras,29,1.9,0.3,4.7
"Chuchu o chayote, crudo",verduras,16,0.8,0.1,2.8
"Coliflor, crudo",verduras,23,2.4,0.2,2.9
"Coliflor, hervido",verduras,19,1.8,0.5,1.8
"Escarola, cruda",verduras,12,1.6,0.2,0.9
