"Palmitos, enlatados",verduras,25,2.5,0.6,2.2
"Pepino, crudo",verduras,12,0.7,0.1,2.0
"Perejil, crudo",verduras,47,3.7,1.0,5.7
"Pickles, en vinagre",verduras,7,0.3,0.2,1.1
"Prefritos congelados, patitas de vegetales (espinaca)",verduras,225,5.4,12.1,23.7
"Puerro, crudo",verduras,38,2.5,0.4,6.1
"Puerro, hervido",verduras,32,0.81,0.2,6.62
"Rabanito, crudo",verduras,23,1.3,0.1,4.2
"Radicheta, cruda",verduras,14,2.2,0.3,0.7
"Remolacha, cruda",verduras,44,2.4,0.2,8.3
"Remolacha, hervida",verduras,40,1.68,0.18,7.96
"Repollito de Bruselas, crudos",verduras,43,4.4,0.5,5.1
"Repollito de Bruselas, hervidos",verduras,33,2.6,0.5,4.5
"Repollo, crudo",verduras,19,1.3,0.1,3.3
"Repollo, hervido",verduras,20,1.3,0.1,3.6
"Rúcula, cruda",verduras,24,2.6,0.7,2.1
"Tomate, crudo",verduras,17,1.0,0.2,2.9
"Tomate, desecado",verduras,257,14.1,3.0,43.5
"Tomate, enlatado",verduras,12,0.8,0.3,1.6
