"McDonald's, BigMc",alimentos de locales de comidas rápidas,240,12.1,12.1,20.6
"McDonald's, Cajita Feliz, Hambur guesa con queso Grill",alimentos de locales de comidas rápidas,269,12.6,11.7,28.2
"McDonald's, Cajita Feliz, Hambur guesa Grill",alimentos de locales de comidas rápidas,257,12.4,9.3,30.9
"McDonald's, Cajita Feliz, Mc Tos tado",alimentos de locales de comidas rápidas,229,10.5,5.8,33.7
"McDonald's, Cajita Feliz, McNug gets X4",alimentos de locales de comidas rápidas,242,14.6,12.5,17.7
"McDonald's, Cajita Feliz, Papas Kids",alimentos de locales de comidas rápidas,292,4.0,16.0,33.0
"McDonald's, Cajita Feliz, Papas pequeñas",alimentos de locales de comidas rápidas,292,4.0,16.0,33.0
"McDonald's, Cajita Feliz, Tomate cherry 50g",alimentos de locales de comidas rápidas,23,1.1,0.5,3.6
"McDonald's, Club House",alimentos de locales de comidas rápidas,223,13.4,13.6,11.7
"McDonald's, Clubhouse/ Guaca mole/ Cryspi Onion BBQ con pollo crispy",alimentos de locales de comidas rápidas,165,13.9,5.7,14.5
"McDonald's, Clubhouse/ Guacamo le/ Cryspi Onion BBQ con pollo grill",alimentos de locales de comidas rápidas,159,14.0,5.8,12.6
"McDonald's, Cono",alimentos de locales de comidas rápidas,179,5.0,4.0,30.7
"McDonald's, Cuarto de Libra",alimentos de locales de comidas rápidas,273,14.8,15.3,19.0
