Dextrosa en polvo (gramo),suplementos nutricionales,400,0.0,0.0,100.0
Ensure Plus (mililitro),suplementos nutricionales,141,5.2,4.5,19.9
Ensure Plus drink (mililitro),suplementos nutricionales,141,5.2,4.5,19.9
Ensure polvo (gramo),suplementos nutricionales,418,16.0,14.0,57.0
Espesan (gramo),suplementos nutricionales,352,0.3,0.1,87.5
Fortisip Standard (mililitro),suplementos nutricionales,150,6.0,5.8,18.4
Frebini energy drink (mililitro),suplementos nutricionales,141,5.2,4.5,19.9
Glucerna SR polvo (gramo),suplementos nutricionales,364,18.8,15.2,37.9
Jevity (mililitro),suplementos nutricionales,87,4.0,3.5,10.0
Kas Mil polvo (gramo),suplementos nutricionales,494,16.2,25.0,51.0
MCT Oiltriglicéridos de cadena media (Nutricia Bagó) (mililitro),suplementos nutricionales,855,0.0,95.0,0.0
Neocate polvo (gramo),suplementos nutricionales,483,13.0,24.5,52.5
Nutramigen LGG (gramo),suplementos nutricionales,514,14.1,27.0,53.6
Osmolite NH (mililitro),suplementos nutricionales,101,4.0,3.4,13.6
"Pediasure complete, en polvo (gra mo)",suplementos nutricionales,460,13.9,18.1,60.4
Polimerosa (gramo),suplementos nutricionales,400,0.0,0.0,100.0
Supportan (mililitro),suplementos nutricionales,138,10.0,6.7,9.4
Fresubin Powder Fibre (gramo),suplementos nutricionales,364,18.8,15.2,37.9
Herbalife Batido nutricional protei co. Formula 1 (gramo),suplementos nutricionales,392,53.6,10.7,20.4
HerbalifeBatido de cookies y cream. Formula 1 (gramo),suplementos nutricionales,392,53.6,10.7,20.4
