Aceituna negra,frutas,119,0.8,10.9,4.4
Aceituna verde,frutas,130,1.5,13.5,0.5
Acerola,frutas,31,0.4,0.3,6.6
Ananá,frutas,50,0.4,0.2,11.7
"Ananá, enlatado (fruta y almíbar)",frutas,84,0.4,0.1,20.3
Arándanos,frutas,54,0.7,0.3,12.1
Banana,frutas,92,1.2,0.2,20.4
Cereza,frutas,65,1.1,0.5,13.9
Ciruela,frutas,51,0.7,0.2,11.5
Ciruela pasa / ciruela seca,frutas,236,1.9,0.1,56.8
Coco rallado,frutas,504,2.9,35.5,43.2
"Coctail de frutas, enlatado (fruta y almíbar)",frutas,74,0.4,0.1,17.9
Damasco,frutas,41,1.0,0.1,9.1
Dátiles,frutas,282,2.1,0.3,67.7
Durazno,frutas,45,0.5,0.1,10.5
Durazno orejón,frutas,234,3.6,0.8,53.1
"Durazno, enlatado (fruta y almíbar)",frutas,70,0.4,0.1,16.9
"Durazno, enlatado light (fruta y almíbar)",frutas,43,0.44,0.06,4.81
Frambuesa,frutas,32,1.2,0.7,5.4
Frutas abrillantadas,frutas,327,0.3,0.1,81.1
