Frutilla,frutas,31,0.8,0.6,5.7
Granada,frutas,63,0.6,0.2,14.7
Guayaba,frutas,47,0.8,1.0,8.9
Higo,frutas,74,1.4,0.4,16.3
Higo desecado,frutas,238,3.3,0.9,54.1
Kaki,frutas,67,0.8,0.4,15.0
Kinoto,frutas,47,0.9,0.1,10.6
Kiwi,frutas,56,1.1,0.5,11.7
Limón,frutas,35,0.9,0.6,6.5
Mamón,frutas,38,0.5,0.1,8.8
Mandarina,frutas,52,0.8,0.3,11.5
Mango,frutas,60,0.8,0.4,13.4
Manzana con piel,frutas,48,0.3,0.2,11.4
Manzana sin piel,frutas,59,0.3,0.4,13.6
Maracuyá,frutas,67,2.2,0.7,13.0
Melón,frutas,37,0.5,0.1,8.3
Membrillo,frutas,56,0.3,0.1,13.4
Mora,frutas,27,1.4,0.5,4.3
Naranja,frutas,43,0.94,0.12,9.35
Níspero,frutas,38,0.6,0.2,8.6
