"Almidón de maíz, crudo",legumbres cereales papa pan y pastas,363,0.3,0.1,90.4
"Almidón de mandioca, crudo",legumbres cereales papa pan y pastas,363,0.3,0.1,90.4
"Amaranto, crudo",legumbres cereales papa pan y pastas,366,15.4,7.8,58.6
"Amaranto, hervido",legumbres cereales papa pan y pastas,96,3.8,1.6,16.6
Anchi,legumbres cereales papa pan y pastas,116,2.8,2.1,21.6
"Arroz blanco, crudo",legumbres cereales papa pan y pastas,339,6.9,0.2,77.5
"Arroz blanco, hervido",legumbres cereales papa pan y pastas,126,2.4,0.2,28.6
"Arroz envasado deshidratado listo para preparar con salsa u otros ingredientes (tipo cuatro quesos, primavera, etc.)",legumbres cereales papa pan y pastas,355,8.8,3.5,72.1
Arroz inflado azucarado,legumbres cereales papa pan y pastas,382,6.3,0.5,88.1
"Arroz integral, crudo",legumbres cereales papa pan y pastas,350,7.5,3.2,72.7
"Arroz integral, hervido",legumbres cereales papa pan y pastas,116,2.7,1.0,24.0
"Arroz yamaní, crudo",legumbres cereales papa pan y pastas,345,7.5,2.7,72.8
"Arroz yamaní, hervido",legumbres cereales papa pan y pastas,104,2.3,0.8,21.7
"Arveja, semilla seca entera / parti da, cruda",legumbres cereales papa pan y pastas,311,22.0,2.9,49.1
"Arveja, semilla seca entera / parti da, hervida",legumbres cereales papa pan y pastas,88,8.3,0.4,12.8
"Avena, almohaditas",legumbres cereales papa pan y pastas,366,11.0,5.5,68.0
"Avena, arrollada, cruda",legumbres cereales papa pan y pastas,357,15.6,7.5,56.9
