"Avena, arrollada, hervida",legumbres cereales papa pan y pastas,84,2.5,1.3,15.4
Barra crocante de arroz,legumbres cereales papa pan y pastas,399,2.8,0.8,95.0
Barra de cereal fortificada,legumbres cereales papa pan y pastas,426,10.9,23.9,41.7
Barra de cereal light,legumbres cereales papa pan y pastas,323,5.2,3.7,67.3
"Barra de cereales, PROMEDIO",legumbres cereales papa pan y pastas,370,5.6,10.7,62.9
"Batata, cruda",legumbres cereales papa pan y pastas,73,1.1,0.1,17.1
"Batata, hervida",legumbres cereales papa pan y pastas,83,1.2,0.1,19.2
Bizcochitos de arroz envasados (tipo galletita),legumbres cereales papa pan y pastas,397,6.4,3.9,84.0
Bizcochitos de grasa envasados,legumbres cereales papa pan y pastas,499,9.0,25.7,57.9
Bizcochitos de grasa envasados light,legumbres cereales papa pan y pastas,444,10.2,16.7,63.2
"Bizcochos de grasa (panadería) / Criollitos, Libritos (pan con grasa)",legumbres cereales papa pan y pastas,392,7.0,17.4,51.8
Bizcochos tipo Bay Biscuit,legumbres cereales papa pan y pastas,396,8.4,4.6,80.2
Bizcochuelo preparado (panade ría),legumbres cereales papa pan y pastas,288,5.4,2.7,60.5
Bizcochuelo preparado a partir de polvo premezcla,legumbres cereales papa pan y pastas,294,6.0,7.0,51.7
"Bizcochuelo preparado a partir de polvo premezcla, SIN TACC",legumbres cereales papa pan y pastas,266,4.2,4.6,52.1
Bollitos de anís,legumbres cereales papa pan y pastas,330,7.6,6.8,59.5
Brownie (panadería),legumbres cereales papa pan y pastas,519,6.2,30.8,54.3
