"Fideos frescos, al huevo, hervidos",legumbres cereales papa pan y pastas,98,4.1,1.5,16.9
"Fideos secos integrales / fideos secos de sémola y harina de le gumbres, crudos",legumbres cereales papa pan y pastas,346,11.6,1.6,71.2
"Fideos secos integrales / fideos secos de sémola y harina de le gumbres, hervidos",legumbres cereales papa pan y pastas,133,4.5,0.6,27.4
"Fideos secos, crudos",legumbres cereales papa pan y pastas,352,13.0,1.5,71.5
"Fideos secos, fortificados, crudos",legumbres cereales papa pan y pastas,352,13.0,1.5,71.5
"Fideos secos, fortificados, hervidos",legumbres cereales papa pan y pastas,148,5.8,0.9,29.1
"Fideos secos, hervidos",legumbres cereales papa pan y pastas,148,5.8,0.9,29.1
Frangollo (maíz seco pisado),legumbres cereales papa pan y pastas,341,6.9,3.9,69.6
Galleta de campo,legumbres cereales papa pan y pastas,289,9.8,1.0,60.2
Galleta de grasa con chicharrón,legumbres cereales papa pan y pastas,392,7.0,17.4,51.8
Galleta marinera,legumbres cereales papa pan y pastas,350,12.8,0.7,73.1
Galleta marinera con semillas / galletitas crackers con semillas,legumbres cereales papa pan y pastas,422,12.2,11.6,67.1
Galleta marinera integral,legumbres cereales papa pan y pastas,371,7.1,10.7,61.6
"Galleta marinera, light en grasas",legumbres cereales papa pan y pastas,370,12.2,4.0,71.3
Galletas de arroz,legumbres cereales papa pan y pastas,380,6.3,2.1,83.9
Galletas de arroz horneadas tipo snack varios sabores,legumbres cereales papa pan y pastas,367,8.2,2.8,77.3
