"Alimento a base de leche entera y café, fortificado con calcio, varios sabores, listo para consumir",leche y postres de leche,48,1.9,1.2,7.4
"Bebida láctea parcialmente des cremada fluida, baja en lactosa, fortificada con vitaminas A, D, B2, B9 y Zinc",leche y postres de leche,44,0.8,0.9,8.3
Flan envasado listo para consu mir,leche y postres de leche,129,3.2,2.6,23.1
Flan envasado listo para consu mir light,leche y postres de leche,91,4.4,0.6,17.1
Leche condensada,leche y postres de leche,328,7.9,8.7,54.4
"Leche de cabra, entera, en polvo",leche y postres de leche,526,20.6,36.9,27.8
"Leche de cabra, entera, fluida",leche y postres de leche,84,3.3,5.9,4.5
"Leche de oveja, entera, fluida",leche y postres de leche,99,5.5,6.5,4.5
"Leche de vaca, ordeñada (sin nin gún tipo de procesamiento)",leche y postres de leche,65,3.3,3.7,4.7
"Leche descremada en polvo, forti ficada con vitaminas A y D",leche y postres de leche,360,35.5,1.0,52.2
"Leche descremada en polvo, tipo Nido Buen Día, fortificada con hierro y calcio",leche y postres de leche,495,18.5,26.2,46.2
"Leche descremada fluida, con 50% más de proteínas",leche y postres de leche,43,4.5,0.4,5.4
