"Leche fórmula etapa 4, fluida",leche y postres de leche,61,1.5,2.5,8.1
"Leche fórmula inicio, en polvo",leche y postres de leche,472,8.9,24.0,55.0
"Leche fórmula inicio, fluida",leche y postres de leche,66,1.2,3.3,7.6
"Leche fórmula para prematuros etapa 1, en polvo",leche y postres de leche,503,16.0,24.0,55.7
"Leche fórmula para prematuros etapa 1, fluida",leche y postres de leche,79,2.6,3.9,8.4
"Leche fórmula para prematuros etapa 2, en polvo",leche y postres de leche,503,16.0,24.0,55.7
"Leche fórmula para prematuros etapa 2, fluida",leche y postres de leche,79,2.5,3.8,8.7
"Leche fórmula seguimiento, en polvo",leche y postres de leche,449,10.0,21.0,55.0
"Leche fórmula seguimiento, fluida",leche y postres de leche,66,1.5,3.1,8.1
"Leche fórmula, tipo Alfaré, en polvo**",leche y postres de leche,501,14.8,25.1,53.9
"Leche fórmula, tipo Enfabebe Confort, en polvo",leche y postres de leche,515,11.0,27.0,57.0
"Leche fórmula, tipo GA1 Anamix Infant, en polvo",leche y postres de leche,459,13.1,23.0,49.8
"Leche fórmula, tipo Nutrilon Pepti junior HE, en polvo",leche y postres de leche,511,14.0,27.0,53.0
