Yogur con fitoesteroles,yogures,46,2.9,1.0,6.4
Yogur descremado,yogures,36,2.9,0.0,6.0
Yogur descremado bebible,yogures,36,2.9,0.0,6.0
Yogur descremado con cereales,yogures,69,4.5,0.3,12.0
Yogur descremado con frutas,yogures,56,3.9,0.3,9.3
Yogur descremado con frutas y ce reales,yogures,73,4.3,0.6,12.7
Yogur descremado fortificado con calcio,yogures,64,4.0,1.3,9.2
Yogur entero bebible saborizado,yogures,76,2.9,1.8,12.0
Yogur entero con cereales,yogures,123,3.9,2.8,20.5
Yogur entero con frutas,yogures,96,3.6,2.6,14.7
Yogur entero con frutas y cereales,yogures,133,3.2,3.4,22.3
Yogur entero natural,yogures,62,3.5,3.3,4.7
Yogur entero saborizado,yogures,87,3.5,3.3,11.0
Yogur fortificado con hierro,yogures,87,3.5,3.3,11.0
