Muzzarella rebozada sin freir (polle ría o granja),quesos,305,18.9,16.7,19.8
Queso Pategrás,quesos,332,25.4,25.6,0.0
Queso Azul,quesos,368,20.0,31.1,2.0
"Queso blanco descremado, untable",quesos,82,13.7,0.3,6.1
"Queso blanco semidescremado, untable",quesos,128,7.6,8.4,5.5
Queso Cheddar,quesos,410,24.3,33.8,2.1
Queso Chubut,quesos,337,25.9,24.9,2.2
"Queso crema entero, untable",quesos,245,6.6,22.6,3.9
Queso Cremoso,quesos,310,20.4,24.3,2.5
Queso Cuartirolo,quesos,280,20.8,21.4,1.0
Queso de cabra,quesos,355,21.6,29.8,0.1
Queso de máquina,quesos,356,24.9,27.4,2.2
Queso en hebras,quesos,381,35.8,25.0,3.2
Queso en hebras light,quesos,277,30.5,16.5,1.7
Queso Fontina,quesos,389,25.6,31.1,1.6
Queso Fontina fundido light,quesos,198,14.0,14.0,4.0
Queso fresco sin sal,quesos,224,26.9,12.6,0.8
Queso fundido,quesos,303,11.0,27.5,2.9
Queso Gruyére,quesos,407,28.6,32.3,0.4
Queso Holanda,quesos,356,24.9,27.4,2.2
