Queso Mar del Plata,quesos,332,25.4,25.6,0.0
Queso Mascarpone,quesos,357,6.2,34.4,5.5
Queso Muzzarella,quesos,278,23.6,19.3,2.4
Queso Parmesano,quesos,350,32.7,24.4,0.0
Queso pasta blanda descremado,quesos,207,27.4,10.6,0.5
Queso pasta blanda doble crema,quesos,357,14.0,33.0,1.0
"Queso pasta blanda, PROMEDIO *",quesos,310,20.4,24.3,2.5
"Queso pasta dura, PROMEDIO **",quesos,350,25.6,26.6,2.1
"Queso pasta semidura, PROME DIO ***",quesos,356,24.9,27.4,2.2
Queso porsalut sin sal light,quesos,225,26.3,12.9,1.0
Queso Provolone,quesos,350,25.6,26.6,2.1
Queso rallado envasado,quesos,420,28.4,27.8,13.9
Queso Reggianito,quesos,381,35.8,25.0,3.2
Queso Roquefort,quesos,370,21.5,30.6,2.0
Queso Sardo,quesos,384,31.8,26.9,3.6
Queso Sbrinz,quesos,350,25.6,26.6,2.1
