Bondiola (fiambre),carnes,264,16.5,22.0,0.0
Butifarra,carnes,296,13.6,25.1,3.8
"Cabra, cruda",carnes,103,20.6,2.3,0.0
"Cabra, al horno",carnes,136,27.1,3.0,0.0
Cantimpalo (fiambre),carnes,372,21.1,31.7,0.7
"Carpincho, crudo",carnes,206,18.2,14.8,0.0
"Cerdo, PROMEDIO, crudo",carnes,206,18.2,14.8,0.0
"Cerdo, PROMEDIO (horno/parrilla)",carnes,193,27.5,9.2,0.0
"Chinchulines, tripa gorda, crudos",carnes,216,11.0,19.1,0.0
"Chinchulines, tripa gorda (horno/ parrilla)",carnes,270,13.8,23.9,0.0
"Chivito, crudo",carnes,103,20.6,2.3,0.0
Chivito (horno/parrilla),carnes,136,27.1,3.0,0.0
"Chorizo, crudo",carnes,296,13.6,25.1,3.8
Chorizo (horno/parrilla),carnes,405,18.7,34.4,5.2
Chorizo seco,carnes,425,21.7,37.0,1.2
"Conejo, crudo",carnes,130,20.1,5.6,0.0
"Conejo, hervido",carnes,197,30.4,8.4,0.0
"Corazón, vacuno, crudo",carnes,107,17.7,3.9,0.1
"Cordero, PROMEDIO, crudo",carnes,224,17.8,17.0,0.0
"Cordero, PROMEDIO (horno/pa rrilla)",carnes,249,24.5,16.8,0.0
