Cuerito de cerdo,carnes,514,9.3,53.0,0.0
Fiambre de cerdo,carnes,155,16.6,8.8,2.3
Hamburguesa de carne vacuna (carnicería),carnes,209,18.6,15.0,0.0
"Hamburguesa de carne vacuna, industrializada",carnes,218,17.3,16.5,0.1
"Hamburguesa de carne vacuna, industrializada light",carnes,175,18.4,11.3,0.0
"Hamburguesa de carne vacuna, industrializada, rebozada",carnes,240,12.3,12.3,20.0
Hamburguesa de pollo (pollería / granja),carnes,208,17.1,15.5,0.1
"Hamburguesa de pollo, industria lizada",carnes,208,17.1,15.5,0.1
"Hígado, crudo",carnes,130,20.4,3.6,3.9
Hígado (rehogado/plancha),carnes,169,26.5,4.7,5.2
"Hígado de pollo, crudo",carnes,114,16.9,4.8,0.7
"Hígado de pollo, cocido",carnes,165,25.8,6.4,1.1
"Jabalí, crudo",carnes,116,21.5,3.3,0.0
Jamón cocido,carnes,107,18.4,3.3,1.0
Jamón crudo,carnes,319,28.8,22.6,0.2
Leberwurst,carnes,322,14.1,28.5,2.2
"Lengua, cruda",carnes,219,14.9,16.1,3.7
"Lengua, hervida",carnes,278,19.3,22.3,0.0
