Paté / picadillo,carnes,315,14.2,28.0,1.5
"Pato, crudo",carnes,130,18.3,6.0,0.9
"Pato, al horno",carnes,195,23.5,11.2,0.0
"Pavo, crudo",carnes,108,22.6,1.9,0.1
"Pavo, al horno",carnes,151,29.1,3.8,0.0
"Pollo con piel, crudo",carnes,208,17.1,15.5,0.1
Pollo con piel (horno/parrilla),carnes,216,24.0,13.4,0.0
"Pollo sin piel, crudo",carnes,106,20.3,2.7,0.0
Pollo sin piel (horno/parrilla),carnes,160,25.0,6.6,0.0
"Pollo, menudos, crudos",carnes,122,18.1,5.0,1.1
"Pollo, menudos, cocidos",carnes,158,26.8,5.2,0.9
"Pollo, pechuga sin piel, crudo",carnes,114,22.5,2.6,0.0
"Pollo, pechuga sin piel (horno/pa rrilla)",carnes,151,30.5,3.2,0.0
"Rana, cruda",carnes,64,15.5,0.2,0.0
"Riñón, crudo",carnes,99,17.4,3.1,0.3
Riñón (horno/parrilla),carnes,151,27.3,4.7,0.0
Salame,carnes,372,21.1,31.7,0.7
Salchicha de viena,carnes,226,15.3,17.2,2.6
