"Abadejo, crudo",pescados y mariscos,72,15.8,0.9,0.2
"Almeja, cruda",pescados y mariscos,82,14.7,1.0,3.6
"Anchoa, enlatada en aceite",pescados y mariscos,203,28.9,9.7,0.0
"Atún, enlatado al natural",pescados y mariscos,86,19.4,1.0,0.0
"Atún, enlatado en aceite",pescados y mariscos,190,29.1,8.2,0.0
"Atún, lomito fresco, crudo",pescados y mariscos,137,23.3,4.9,0.0
"Bocaditos de pescado, prefritos",pescados y mariscos,248,19.0,9.7,21.1
"Brótola, cruda",pescados y mariscos,83,17.6,1.2,0.4
"Caballa, enlatada",pescados y mariscos,149,23.2,6.3,0.0
"Calamar, crudo",pescados y mariscos,99,18.5,1.4,3.1
Camarón,pescados y mariscos,91,21.0,0.8,0.0
"Cornalitos, crudos",pescados y mariscos,86,16.0,2.2,0.6
"Corvina, cruda",pescados y mariscos,97,19.5,1.9,0.4
"Dorado, crudo",pescados y mariscos,99,18.8,2.6,0.0
"Gatuzo, crudo",pescados y mariscos,72,17.4,0.2,0.1
Hamburguesa de pescado (pes cadería),pescados y mariscos,136,23.9,2.5,4.5
Kani Kama,pescados y mariscos,96,15.2,0.9,6.9
Langostino,pescados y mariscos,96,22.0,0.9,0.0
"Lenguado, crudo",pescados y mariscos,88,17.5,1.9,0.2
