"Mejillón, crudo",pescados y mariscos,83,11.9,2.2,3.7
"Merluza, cruda",pescados y mariscos,80,17.1,1.3,0.0
Merluza,pescados y mariscos,104,22.2,1.7,0.0
"Merluza, enlatada en agua y acei te",pescados y mariscos,170,23.2,8.6,0.0
"Milanesa de pescado, prefrita",pescados y mariscos,248,19.0,9.7,21.1
"Pacú, crudo",pescados y mariscos,121,20.7,4.2,0.0
Pacú,pescados y mariscos,155,26.5,5.4,0.1
"Palometa, cruda",pescados y mariscos,215,20.1,14.8,0.4
Palometa,pescados y mariscos,277,25.8,19.0,0.9
"Pejerrey, crudo",pescados y mariscos,86,18.6,1.2,0.2
Pejerrey,pescados y mariscos,110,23.8,1.5,0.3
"Pescados de mar (ej: brótola, corvina blanca, gatuso, lenguado, merluza, etc.), PROMEDIO, crudo",pescados y mariscos,80,17.1,1.3,0.0
"Pescados de río (ej: dorado, pa lometa, surubí, trucha, etc.), PRO MEDIO, crudo",pescados y mariscos,134,20.2,5.9,0.1
"Pollo de mar, crudo",pescados y mariscos,100,20.0,2.0,0.4
"Pulpo, crudo",pescados y mariscos,78,14.9,1.0,2.2
Rabas (restaurant),pescados y mariscos,259,16.1,14.5,15.9
"Sábalo, crudo",pescados y mariscos,148,22.7,6.4,0.0
"Salmón blanco, crudo",pescados y mariscos,114,21.6,3.0,0.2
"Salmón rosado, crudo",pescados y mariscos,122,20.5,4.4,0.0
