0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Aceite comestible mezcla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de canola,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de chía,"0,03",0,0,1,0,0,"0,05",0,"0,02",0,0,0,0,0,0,0,0,0,0
Aceite de coco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de girasol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de girasol alto oleico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de maíz,0,2,1,1,0,0,"0,56",0,0,0,0,0,0,0,0,0,0,0,0
Aceite de oliva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de sésamo,0,0,0,0,0,0,"0,05",0,0,0,0,0,0,0,0,0,0,0,0
Aceite de soja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de uva,0,0,0,0,"0,01",0,"0,10",0,0,0,0,0,0,0,0,0,0,0,0
Aceite mezcla con oliva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocío vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
