0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Alimento a base de almendras (le-
che de almendras)","0,32",63,50,128,"0,017",8,"0,30",7,"0,06","0,08",1,0,60,60,"0,015","0,010","0,74",0,"1,00"
Almendra,"2,97",1,733,269,"1,031",481,"3,71",270,"3,12","3,62",44,0,0,0,"0,205","1,138",0,0,0
Avellana,"2,29",6,680,140,"1,725",354,"4,10",163,"2,45","1,80",113,0,1,0,"0,520","0,113",0,"6,3",0
Maní tostado salado,"2,92",701,634,58,"0,428",363,"1,58",178,"2,77","14,36",97,0,0,0,"0,152","0,197",0,0,0
Maní tostado sin sal,"2,92",6,634,58,"0,428",363,"1,58",178,"2,77","14,36",97,0,0,0,"0,152","0,197",0,0,0
Mantequilla de maní,3,476,592,54,"0,571",335,"2,16",179,"2,67","13,16",35,0,0,0,"0,107","0,105",0,0,0
"Mix de frutos secos, semillas y pa-
sas de uva","2,29",13,634,71,"0,82",314,"2,34",144,"2,30","5,81",83,0,1,0,"0,366","0,184",0,"1,3",0
Nuez,"2,00",3,441,98,"1,586",380,"2,35",158,"3,09","1,13",98,0,1,0,"0,341","0,150",0,"1,3",0
Pistacho salado,"3,79",428,1007,107,"1,293",469,"4,03",109,"2,34","1,37",51,0,13,0,"0,695","0,234",0,"3,0",0
Semilla de amapola,"6,37",26,719,1438,2,870,"9,76",347,"7,9","0,90",82,0,0,0,"0,854","0,100",0,"1,0",0
Semilla de chía,"4,8",16,407,631,"0,924",860,"7,72",335,"4,58","8,83",49,0,0,0,"0,620","0,170",0,"1,6",0
Semilla de girasol,"3,02",9,645,78,"1,8",660,"5,25",325,5,"8,34",227,0,3,0,"1,480","0,355",0,"1,4",0
"Semilla de girasol con sal y con 
cáscara","5,6",655,850,70,"1,83",1155,"3,80",129,"5,29","7,04",237,0,0,0,"0,106","0,246",0,"1,4",0
Semilla de lino,"3,72",30,813,255,"1,22",642,"5,73",392,"4,3","3,08",87,0,0,0,"1,644","0,161",0,"0,6",0
Semilla de sésamo,"4,45",11,468,975,"4,082",629,"14,55",351,"7,75","4,52",97,0,0,0,"0,791","0,247",0,0,0
Semilla de zapallo,"4,78",7,809,46,"1,343",1233,"8,82",592,"7,81","4,99",58,0,1,0,"0,273","0,153",0,"1,9",0
