0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Alfajor de arroz,,56,125,5,"0,151",140,"0,58",55,"1,01","2,93",4,0,0,0,"0,154","0,045",0,0,0
Alfajor de chocolate,,146,221,92,"0,3",134,"2,27",48,"0,9","1,74",81,40,19,18,"0,178","0,275","0,10","0,7","0,06"
"Alfajor de chocolate con relleno tipo 
mousse",,80,160,3,"0,043",39,"1,25",7,"0,2","0,81",122,66,0,0,"0,247","0,060",0,0,0
Alfajor de dulce de leche,,162,127,92,"0,09",108,"1,60",16,1,"1,94",93,48,20,20,"0,195","0,287","0,11",0,0
Alfajor de fruta,,111,77,29,"0,12",67,"1,67",11,"0,37","1,94",95,49,0,0,"0,199","0,202","0,03",0,0
Alfajor de maicena,"0,7",161,127,78,"0,1",95,"1,23",14,"0,5","0,49",49,23,32,32,"0,124","0,202","0,20","0,8",0
Alfajor de miel,"1,0",78,99,53,"0,07",155,"2,45",11,"0,5","1,11",179,89,37,36,"0,349","0,202","0,20",0,"0,52"
Alfajor light,,122,221,92,"0,3",134,"2,27",48,"0,9","1,74",81,40,19,18,"0,178","0,275","0,10","0,7",0
"Bananita con cobertura de choco-
late",,22,,,,,,,,,,0,0,0,,,0,0,0
Baño de repostería para cubrir tortas,"1,2",54,365,32,"0,7",132,"3,13",115,"1,62","0,43",13,0,0,0,"0,055","0,090",0,0,0
Barra de arroz rellena bañada,,100,125,5,"0,151",140,"0,58",55,"1,01","2,93",4,0,0,0,"0,154","0,045",0,0,0
Barra de chocolate tipo Kinder,,140,404,271,"0,0264",251,"0,18",28,"1,09","0,21",12,0,85,83,"0,093","0,398","1,07",0,"0,17"
"Bocadito con dulce de leche tipo 
Cabsha",,207,250,150,"0,127",136,"0,65",28,"0,87","0,20",6,0,23,22,"0,105","0,266","0,40","0,3",0
Bombón tipo Bon O Bon,,122,95,9,"0,0642",54,"0,24",27,"0,42","2,15",15,0,0,0,"0,023","0,030",0,0,0
Bombones de fruta,"0,14",98,56,18,"0,029",5,"0,17",4,"0,05",0,0,0,1,0,0,0,0,0,0
Cacao amargo*,"5,8",21,1524,128,"3,788",734,"13,86",499,"6,81","2,19",32,0,0,0,"0,078","0,241",0,0,0
Cacao en polvo sin fortificar*,,504,712,133,"0,286",315,"1,19",83,"1,46","0,59",6,0,1,1,"0,096","0,565",0,"0,2",0
Cacao en polvo tipo Nesquick*,,164,800,400,"0,286",193,"15,00",83,"7,5","0,59",6,0,1,1,"1,290","0,565","0,35","0,2",0
Caramelos duros,"0,5",38,5,3,"0,029",3,"0,30",3,"0,01","0,01",0,0,0,0,"0,004","0,003",0,0,0
Caramelos duros light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
