0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Caramelos masticables,,30,10,3,0,4,"0,10",2,0,0,0,0,13,0,0,0,0,0,0
Caramelos rellenos,"0,5",38,5,3,"0,029",3,"0,30",3,"0,01","0,01",0,0,0,0,"0,004","0,003",0,0,0
Chicles,"0,4",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicles sin azúcar,"1,3",7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate 60% cacao o más,"1,9",10,567,62,"1,248",260,"6,32",176,"2,65","0,84",12,0,3,0,"0,032","0,049","0,18",0,0
Chocolate amargo,"3,6",24,830,101,"3,233",400,"17,40",327,"9,63","1,36",28,0,0,0,"0,147","0,100",0,0,0
Chocolate blanco,"1,5",90,286,199,"0,06",176,"0,24",12,"0,74","0,75",7,0,9,9,"0,063","0,282","0,56","0,5",0
Chocolate con almendras,"1,7",74,444,224,"0,422",264,"1,63",90,"1,34","0,74",13,0,52,52,"0,060","0,435","0,67","0,2",0
Chocolate con maní,,41,394,110,"0,17",163,"1,39",47,"0,93","3,44",38,0,35,35,"0,140","0,140","0,33","0,9",0
Chocolate light,,88,365,32,"0,7",132,"3,13",115,"1,62","0,43",13,0,0,0,"0,055","0,090",0,0,0
Chocolate para taza,"1,2",11,365,32,"0,7",132,"3,13",115,"1,62","0,43",13,0,0,0,"0,055","0,090",0,0,0
Chocolatín / chocolate con leche,"1,78",79,372,189,"0,491",208,"2,35",63,"2,3","0,39",11,0,59,59,"0,112","0,298","0,75",0,0
Chupetín,"0,5",38,5,3,"0,029",3,"0,30",3,"0,01","0,01",0,0,0,0,"0,004","0,003",0,0,0
Conito de dulce de leche envasado,"1,1",86,262,126,"0,3",138,"1,66",52,"0,9","0,50",48,21,33,33,"0,104","0,233","0,14","1,2","0,11"
Cubanito relleno,,139,48,3,"0,0432",39,"1,25",7,"0,21","0,81",122,66,0,0,"0,247","0,060",0,0,0
Garrapiñada de maní,,156,407,78,"0,774",308,"0,97",110,"3,94","7,92",75,0,0,0,"0,100","0,140",0,0,0
Gomitas de gelatina,"0,1",50,37,3,"0,028",4,"0,13",2,"0,05","0,01",0,0,0,0,"0,004","0,011",0,0,0
Huevo de chocolate tipo Kinder,,125,392,263,"0,0256",244,"0,17",27,"1,06","0,20",9,0,83,81,"0,082","0,366","0,99",0,"0,16"
Lentejas de chocolate,,79,183,16,"0,35",66,"1,57",58,"0,81","0,21",7,0,0,0,"0,028","0,045",0,0,0
Maní con chocolate,"1,8",41,502,104,"0,544",212,"1,31",96,"2,6","4,25",51,0,41,41,"0,116","0,174","0,53",0,0
