0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Medallón de menta y chocolate,"0,6",1,389,13,"0,06",104,"0,57",13,"0,6","0,50",1,0,0,0,"0,160","0,010",0,0,0
Merengues / merenguitos,,243,153,5,"0,019",8,"0,10",6,"0,03","0,05",2,0,0,0,"0,002","0,236","0,04",0,0
Minitorta bañada,,135,127,92,"0,09",108,"1,60",16,"0,5","1,94",93,48,20,20,"0,195","0,287","0,11",0,"0,09"
Oblea bañada tipo Kit Kat,"1,28",54,231,125,"0,22",135,"1,00",37,"0,09","0,50",18,6,24,24,"0,117","0,210","0,56",0,0
Obleas bañadas tipo Nugaton,"1,28",54,231,125,"0,22",135,"1,00",37,"0,09","0,50",18,6,24,24,"0,117","0,210","0,56",0,0
Pasas de uva con chocolate,"1,5",36,514,86,"0,373",143,"1,71",45,"1,25","0,40",7,0,29,29,"0,084","0,161","0,37","0,2",0
Pastillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pastillas sin azúcar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Postre a base de pasta de maní, tipo 
Mantecol","2,35",250,505,110,"0,4",310,"1,70",110,2,"8,20",77,0,0,0,"0,232","0,200","0,20","0,3",0
Rhodesia,,13,32,2,"0,0288",26,"0,83",4,"0,14","0,54",81,44,0,0,"0,164","0,040",0,0,0
Tableta de dulce de leche,"1,49",120,265,253,"0,004",176,"0,37",22,"0,7","0,21",11,0,74,73,"0,016","0,405","0,31","2,6","0,24"
Tableta de dulce de leche light,"1,49",138,265,253,"0,004",176,"0,37",22,"0,7","0,21",11,0,74,73,"0,016","0,405","0,31","2,6","0,24"
Tita,,206,48,3,"0,0432",39,"1,25",7,"0,21","0,81",122,66,0,0,"0,247","0,060",0,0,0
