0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Crema chantilly (lista para consumir, 
aerosol o industrial preparada)","0,76",8,147,101,"0,01",89,"0,05",11,"0,37","0,07",3,0,188,184,"0,037","0,065","0,29",0,"0,64"
Crema de leche,"0,53",27,95,66,"0,011",58,"0,10",7,"0,24","0,06",4,0,411,405,"0,020","0,188","0,16","0,6","1,60"
Crema light,"0,46",34,97,69,"0,007",61,"0,03",7,"0,25","0,04",4,0,279,274,"0,024","0,125","0,20","0,6","0,92"
Grasa de cerdo,0,0,0,0,0,0,0,0,"0,11",0,0,0,0,0,0,0,0,0,"2,50"
Grasa de pollo,"0,28",32,64,7,"0,029",54,"0,70",6,"0,45","2,04",1,0,125,125,"0,021","0,059","0,07",0,"3,30"
Grasa vacuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,12"
Manteca,"0,2",223,15,15,"0,016",24,"0,16",2,"0,09","0,04",3,0,684,671,"0,005","0,034","0,17",0,0
Manteca light,"0,5",218,71,48,0,34,"1,09",5,"0,26","0,02",1,0,465,456,"0,010","0,070","0,13",0,"0,40"
Margarina (en pote y en pan),"1,92",295,18,3,0,5,"0,06",3,0,"0,02",1,0,450,450,"0,010","0,037","0,10","0,2","3,75"
Margarina untable light,,610,30,21,0,16,0,2,0,"0,02",1,0,900,900,"0,007","0,026",0,"0,1",0
