0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Chicharrón,,1684,499,11,"0,105",388,"2,80",31,"3,06","10,46",0,0,11,11,"0,560","0,232","1,09",0,0
Maní japonés,"2,7",390,392,40,"0,171",221,"6,53",98,"2,27","5,74",39,0,0,0,"0,061","0,079",0,0,0
Nachos,"2,75",691,223,137,"0,102",252,"1,16",75,"1,38","1,29",13,0,6,0,"0,153","0,136",0,"0,4",0
"Palitos aireados de harina de maíz o 
de colores","2,89",896,197,58,"0,063",108,"1,10",20,"0,6","5,74",180,86,0,0,"0,155","0,200","0,48",0,0
Palitos salados,,904,96,7,"0,0864",79,"2,49",13,"1,32","1,62",244,132,0,0,"0,493","0,120",0,0,0
Papas fritas de copetín,"3,94",527,1196,21,"0,234",153,"1,28",63,"1,09","4,76",29,0,0,0,"0,213","0,088",0,"21,6",0
"Snacks saborizados salados a base 
de maíz",,780,182,106,"0,097",225,"1,52",84,"1,38","0,84",12,0,0,0,"0,140","0,070",0,0,0
"Snacks saborizados salados a base 
de sémola de arroz, horneados, tipo 
Palitos de arroz / aros de cebolla",,800,46,6,"0,077",59,"0,44",23,"0,77","1,06",4,0,0,0,"0,020","0,056",0,0,0
