0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Aceto balsámico,"0,37",23,112,27,"0,026",19,"0,72",12,"0,08",0,0,0,0,0,0,0,0,0,0
Aderezo Caesar o Ranch,"2,4",1209,29,48,"0,01",19,"1,08",2,"0,11","0,04",2,0,9,9,"0,010","0,010","0,03","0,3","0,20"
Aderezo para ensaladas light,,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jugo de limón, envasado","0,22",24,109,10,"0,018",9,"0,06",7,"0,19","0,18",9,0,2,0,"0,021","0,017",0,"14,3",0
Ketchup,"2,94",907,281,15,"0,085",26,"0,35",13,"0,17","1,43",9,0,26,0,"0,011","0,166",0,"4,1",0
Mayonesa,,833,20,8,"0,019",21,"0,21",1,"0,15",0,5,0,16,15,"0,010","0,019","0,12",0,"0,2"
Mayonesa de soja,,741,24,14,"0,001",30,"0,26",2,"0,18",0,6,0,21,12,"0,010","0,020",0,0,0
Mayonesa light,2,837,24,14,"0,001",30,"0,26",2,"0,18",0,6,0,21,12,"0,010","0,020","0,21",0,0
Mostaza,"3,37",1104,152,63,"0,074",108,"1,61",48,"0,64","0,57",7,0,5,0,"0,177","0,070",0,"0,3",0
"Salsa a base de tomate en tetra brick 
o sachet, lista para consumir (ej: 
pomarola, napolitana, con o sin ver-
deo, etc.)",,361,439,18,"0,287",40,"1,78",23,"0,36","1,47",11,0,26,0,"0,025","0,080",0,"10,6",0
Salsa agridulce,"1,22",539,99,10,"0,079",7,"0,21",8,"0,09","0,19",8,0,1,0,"0,048","0,019",0,"8,7",0
Salsa barbacoa,"3,07",1027,232,33,"0,072",20,"0,64",13,"0,17","0,60",2,0,11,0,"0,023","0,056",0,"0,6",0
Salsa blanca en polvo envasada,"14,06",5624,112,8,"0,100",92,"2,91",15,"0,49","1,89",285,154,0,0,"0,575","0,140",0,0,0
Salsa chimichurri envasada,,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salsa de soja,"16,63",6820,447,17,"0,041",94,"0,33",29,"0,23","2,83",13,0,0,0,"0,042","0,109",0,0,0
"Salsa deshidratada varios sabores, 
polvo",,5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salsa Golf,,916,75,14,"0,018",29,"0,28",4,"0,18","0,29",7,0,22,10,"0,010","0,049","0,17","0,8",0
Vinagre,"0,17",8,39,6,"0,01",8,"0,45",4,"0,03",0,0,0,0,0,0,0,0,"0,5",0
