0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Azúcar blanca molida,"0,01",1,2,1,"0,007",0,"0,05",0,"0,01",0,0,0,0,0,0,0,0,0,0
Azúcar impalpable,"0,01",1,2,1,"0,007",0,"0,05",0,"0,01",0,0,0,0,0,0,0,0,0,0
Azúcar morena / azúcar mascabo,"0,45",28,133,83,"0,047",4,"0,71",9,"0,03","0,11",1,0,0,0,0,0,0,0,0
Dulce de batata,"2,3",19,231,24,"0,11",35,"0,65",25,"0,3","0,54",0,0,0,0,"0,056","0,047",0,0,0
Dulce de batata light,"2,3",19,231,24,"0,11",35,"0,65",25,"0,3","0,54",0,0,0,0,"0,056","0,047",0,0,0
Dulce de leche,"1,49",138,265,253,"0,004",176,"0,37",22,"0,7","0,21",11,0,74,73,"0,016","0,405","0,31","2,6","0,24"
Dulce de leche light,"1,49",138,265,253,"0,004",176,"0,37",22,"0,7","0,21",11,0,74,73,"0,016","0,405","0,31","2,6","0,24"
Dulce de membrillo,"0,2",0,83,11,,20,"0,73",6,0,,11,0,0,0,0,0,0,0,0
Dulce de membrillo light,,0,83,11,,20,"0,73",6,0,,11,0,0,0,0,0,0,0,0
Glucosa,0,0,0,0,"0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalea tipo membrillo,"0,12",30,54,7,"0,011",6,"0,19",6,"0,03","0,04",2,0,0,0,"0,001","0,026",0,"0,9",0
Kero o melaza,"3,3",37,1464,205,"0,487",31,"4,72",242,"0,29","0,93",0,0,0,0,"0,041","0,002",0,0,0
Mermelada de frutas,"0,23",32,77,20,"0,1",19,"0,49",4,"0,06","0,04",11,0,0,0,"0,016","0,076",0,"8,8",0
Mermelada de frutas light,"0,3",0,59,0,"0,038",7,0,4,"0,05","0,08",18,0,0,0,"0,010","0,020",0,"15,0",0
Miel,"0,2",4,52,6,"0,036",4,"0,42",2,"0,22","0,12",2,0,0,0,0,"0,038",0,"0,5",0
