0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Caldos en cubo,"49,4",19760,389,125,0,208,"2,05",53,"0,21","3,60",32,0,0,0,"0,195","0,310","0,65","0,5",0
Caldos en polvo,"70,8",28317,0,0,"0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldos en polvo light,53,22300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldos en polvo sin sal light,"4,61",1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saborizador en cubos,33,13200,0,0,"0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saborizador en polvo,"54,2",21700,0,0,"0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sopa crema instantánea preparada,,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sopa crema instantánea, polvo para 
preparar (sabores varios)","9,48",3794,782,99,"0,12",211,"1,26",28,"0,7","0,40",6,0,59,0,"0,050","0,020",0,0,0
"Sopa crema instantánea, polvo para 
preparar light (sabores varios)","13,67",5469,782,99,"0,12",211,"1,26",28,"0,7","0,40",6,0,59,0,"0,050","0,020",0,0,0
"Sopa crema preparada a partir de 
polvo premezcla light",,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sopa crema preparada a partir de 
polvo premezcla sin sal light",,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sopa de fideos deshidratada enva-
sada para preparar","5,23",2094,181,21,"0,126",115,"4,11",25,"0,6","5,40",165,70,1,0,"0,448","0,255","0,25","0,3",0
"Sopa de vegetales instantánea, pol-
vo para preparar","8,9",3565,782,99,"0,12",211,"1,26",28,"0,7","0,40",6,0,59,0,"0,050","0,020",0,0,0
