0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Arroz con leche envasado listo para consumir,,35,105,86,"0,0289",78,"0,11",11,"0,34","0,18",4,0,100,100,"0,038","0,123","0,32",0,"0,83"
Bombón helado,1,68,305,119,"0,076",173,"0,29",28,"0,82","0,18",7,0,19,15,"0,062","0,261","0,49",0,"0,28"
Gelatina envasada lista para consumir,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gelatina light, preparada a partir de polvo","0,21",75,1,3,"0,007",68,"0,01",1,0,0,0,0,0,0,0,0,0,0,0
Gelatina preparada a partir de polvo,"0,2",69,1,3,"0,024",22,"0,02",1,"0,01","0,00",1,0,0,0,0,"0,006",0,0,0
Helado de agua (heladería),,20,68,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Helado de agua (palito),0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helado de crema (heladería),"0,95",78,224,119,"0,079",106,"0,51",22,"0,64","0,17",11,0,118,116,"0,042","0,217","0,34","0,7","0,20"
Helado de crema envasado,,60,51,36,"0,003",28,"0,02",4,"0,11","0,03",2,2,9,9,"0,01","0,048","0,108","0,45",0
"Helado envasado con cucurucho, PROMEDIO",,83,69,62,"0,0125",48,"0,04",5,"0,15","0,04",3,0,14,14,"0,023","0,085","0,23",0,"0,04"
Polvo para preparar helado,,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polvo para preparar postre lácteo,,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polvo para preparar postre lácteo, light",,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
