0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fósforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,µg,mg,µg
"Acelga, cruda","1,6",213,379,51,"0,179",46,"1,80",81,"0,36","0,38",11,0,306,0,"0,036","0,086",0,"21,0",0
"Acelga, hervida","1,26",179,549,58,"0,163",33,"2,26",86,"0,33","0,36",9,0,306,0,"0,034","0,086",0,"18,0",0
"Acelga, pencas, crudas","2,00",150,470,53,"0,179",23,"0,34",81,"0,2","0,38",11,0,0,0,"0,036","0,086",0,"21,0",0
"Acelga, pencas, hervidas","2,00",150,470,53,"0,179",23,"0,34",81,"0,2","0,34",8,0,0,0,"0,031","0,073",0,"12,6",0
"Achicoria, cruda","1,3",45,182,18,"0,295",21,"0,69",30,"0,42","0,50",110,0,286,0,"0,060","0,100",0,"49,3",0
"Achicoria, hervida","1,3",45,182,18,"0,295",21,"0,69",30,"0,42","0,48",83,0,286,0,"0,054","0,095",0,"34,5",0
Ají en conserva,"0,4",14,158,6,"0,049",17,"1,68",6,"0,19","0,62",6,0,133,0,"0,017","0,060",0,"84,9",0
"Ají rojo  / morrón rojo, crudo","0,47",4,211,7,"0,017",26,"0,43",12,"0,25","0,98",46,0,157,0,"0,054","0,085",0,"127,7",0
"Ají rojo  / morrón rojo, rehogado","0,47",4,211,7,"0,017",26,"0,43",12,"0,25","0,93",37,0,141,0,"0,049","0,081",0,"108,5",0
"Ají verde o amarillo / morrón verde o 
amarillo, crudo","0,43",3,175,10,"0,066",20,"0,34",10,"0,13","0,48",10,0,18,0,"0,057","0,028",0,"80,4",0
"Ají verde o amarillo / morrón verde o 
amarillo, rehogado","0,43",3,175,10,"0,066",20,"0,34",10,"0,13","0,46",8,0,16,0,"0,051","0,027",0,"68,3",0
"Ajo, crudo","1,20",17,401,181,"0,299",153,"1,70",25,"1,16","0,70",3,0,0,0,"0,296","0,061",0,"8,8",0
"Albahaca, cruda","1,49",4,295,177,"0,385",56,"3,17",64,"0,81","0,90",68,0,264,0,"0,034","0,076",0,"18,0",0
"Alcaparras, encurtido","8,04",2348,40,40,"0,374",10,"1,67",33,"0,32","0,65",23,0,7,0,"0,018","0,139",0,"4,3",0
"Alcaucil, crudo","1,10",94,370,40,"0,231",94,"1,89",60,"0,49","0,76",58,0,1,0,"0,045","0,063",0,"9,9",0
"Alcaucil, hervido","1,10",94,370,40,"0,231",94,"1,89",60,"0,49","0,76",58,0,1,0,"0,045","0,063",0,"9,9",0
"Apio, crudo","0,75",80,260,40,"0,035",24,"0,20",11,"0,13","0,32",36,0,22,0,"0,021","0,057",0,"3,1",0
"Apio, hervido","0,9",91,284,42,"0,036",25,"0,42",12,"0,14","0,37",33,0,26,0,"0,023","0,070",0,"6,1",0
"Arveja, enlatada","1,10",88,155,54,"0,173",67,"1,50",39,"1,5","2,90",63,0,40,0,"0,086","0,087",0,"2,2",0
"Arveja, fresca, cruda","3,30",38,395,21,"0,176",129,"1,63",33,"1,24","1,14",55,0,36,0,"0,189","0,150",0,"20,6",0
