0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Arveja, fresca, hervida","3,30",38,395,21,"0,176",129,"1,63",33,"1,24","1,14",55,0,36,0,"0,189","0,150",0,"20,6",0
"Berenjena, cruda","0,50",3,238,10,"0,081",12,"0,39",14,"0,16","1,71",19,0,1,0,"0,106","0,455",0,"1,9",0
"Berenjena, hervida","0,50",3,238,10,"0,081",12,"0,39",14,"0,16","1,71",19,0,1,0,"0,106","0,455",0,"1,9",0
"Berro, crudo","1,10",60,314,222,"0,17",52,"1,62",38,"0,23","0,60",80,0,346,0,"0,118","0,207",0,"111,3",0
"Brócoli, crudo","1,10",33,316,47,"0,049",66,"0,73",21,"0,41","0,70",63,0,31,0,"0,076","0,165",0,"93,3",0
"Brócoli, hervido","0,77",41,293,40,"0,061",67,"0,67",21,"0,45","0,55",108,0,77,0,"0,063","0,123",0,"64,9",0
"Brotes de soja, crudo","0,44",6,149,13,"0,164",54,"0,91",21,"0,41","0,75",61,0,1,0,"0,084","0,124",0,"13,2",0
"Brotes de soja, rehogado","0,6",9,219,13,"0,255",79,"1,90",33,"0,9","1,20",70,0,2,0,"0,140","0,180",0,"16,0",0
"Cebolla de verdeo, cruda","0,81",16,276,72,"0,083",37,"1,48",20,"0,39","0,53",64,0,50,0,"0,055","0,080",0,"18,8",0
"Cebolla de verdeo, rehogada","0,81",16,276,72,"0,083",37,"1,48",20,"0,39","0,50",45,0,45,0,"0,050","0,076",0,"16,0",0
"Cebolla, cruda","0,35",4,146,23,"0,039",29,"0,21",10,"0,17","0,12",19,0,0,0,"0,046","0,027",0,"7,4",0
"Cebolla, rehogada","0,35",4,146,23,"0,039",29,"0,21",10,"0,17","0,11",13,0,0,0,"0,041","0,026",0,"6,3",0
"Champignones, enlatados","1,67",425,129,11,"0,235",66,"0,79",15,"0,72","1,59",12,0,0,0,"0,085","0,021",0,0,"0,20"
"Champignones, frescos, crudos","0,85",5,318,3,"0,318",86,"0,50",9,"0,52","3,61",17,0,0,0,"0,081","0,402","0,04","2,1","0,20"
"Chaucha, fresca, cruda","0,66",23,247,32,"0,069",38,"1,03",25,"0,24","0,70",33,0,35,0,"0,048","0,104",0,"19,6",0
"Chaucha, fresca, hervida","0,66",23,247,32,"0,069",38,"1,03",25,"0,24","0,67",23,0,32,0,"0,043","0,099",0,"16,7",0
"Chuchu o chayote, crudo","0,3",2,125,17,"0,123",18,"0,34",12,"0,74","0,47",93,0,0,0,"0,025","0,029",0,"7,7",0
"Coliflor, crudo","0,80",41,313,25,"0,039",65,"0,90",15,"0,27","0,50",57,0,0,0,"0,088","0,080",0,"59,3",0
"Coliflor, hervido","0,80",41,313,25,"0,039",65,"0,90",15,"0,27","0,48",40,0,0,0,"0,079","0,076",0,"50,4",0
"Escarola, cruda","0,90",10,381,44,"0,099",67,"2,77",15,"0,79","0,40",142,0,108,0,"0,026","0,035",0,"11,1",0
