0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Tomate, hervido","0,6",11,218,11,"0,075",28,"0,68",9,"0,14","0,532",13,0,24,0,"0,036","0,022",0,"22,8",0
"Tomate, puré de tomate","1,28",67,439,18,"0,287",40,"1,78",23,"0,36","1,47",11,0,26,0,"0,025","0,080",0,"10,6",0
"Tomate, puré de tomate, hervido","1,45",76,499,20,"0,33",45,"2,02",26,"0,41","1,58",9,0,28,0,"0,027","0,086",0,"11,4",0
"Tomates cherry, crudos",,4,274,10,"0,05",31,"0,34",12,"0,2","0,40",24,0,40,0,"0,050","0,020",0,"15,0",0
"Verdolaga, cruda","1,36",45,494,65,"0,113",44,"1,99",68,"0,17","0,48",12,0,66,0,"0,047","0,112",0,"21,0",0
"Verdolaga, hervida","1,36",45,494,65,"0,113",44,"1,99",68,"0,17","0,48",12,0,66,0,"0,038","0,106",0,"11,6",0
"Zanahoria, cruda","0,90",22,366,37,"0,045",46,"0,47",12,"0,24","0,30",19,0,835,0,"0,080","0,069",0,"3,9",0
"Zanahoria, hervida","0,67",58,235,30,"0,017",30,"0,34",10,"0,2","0,645",14,0,852,0,"0,066","0,044",0,"3,6",0
"Zapallito, crudo","0,80",2,203,24,"0,053",33,"1,51",18,"0,32","0,45",24,0,10,0,"0,045","0,094",0,"17,9",0
"Zapallito, hervido","0,80",2,203,24,"0,053",33,"1,51",18,"0,32","0,43",17,0,9,0,"0,036","0,089",0,"15,2",0
"Zapallo, crudo","0,8",3,346,35,,39,"0,75",23,"0,24","0,90",22,0,479,0,"0,075","0,065",0,"15,0",0
"Zapallo, hervido","0,8",3,346,35,,39,"0,75",23,"0,24","0,86",15,0,431,0,"0,060","0,062",0,"12,8",0
"Zucchini, crudo","0,58",8,261,16,"0,053",38,"0,37",18,"0,32","0,45",24,0,10,0,"0,045","0,094",0,"17,9",0
"Zucchini, hervido","0,66",9,297,18,"0,06",43,"0,42",20,"0,36","0,49",19,0,11,0,"0,043","0,101",0,"16,3",0
