0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Agua saborizada Aquarius, varios 
sabores",,47,0,0,0,0,0,0,0,"1,25",0,0,0,0,0,0,0,0,0
"Agua saborizada Awafrut, varios sa-
bores",,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua saborizada con azúcar, PRO-
MEDIO",,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua saborizada Levité, varios sa-
bores",,20,0,0,0,0,0,0,0,0,29,18,0,0,0,0,"0,18",0,0
"Agua saborizada tipo Sierra de los 
Padres, Manaos, otros",,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amargo serrano,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bebida a base de soja sabor natural,,70,118,120,"0,128",52,"0,64",25,"0,5",0,38,24,60,60,"0,060","0,195","0,48","7,0","1,00"
"Bebida a base de soja y jugo, varios 
sabores",,17,0,0,0,0,0,0,"0,75","1,60",38,24,45,45,"0,120","0,195","0,24","4,5","0,38"
"Bebida a base de soja y jugo, varios 
sabores light",,27,0,0,0,0,0,0,"0,75","1,60",38,24,45,45,"0,120","0,130","0,24","4,5",0
"Gaseosa con azúcar, PROMEDIO",,10,2,2,"0,005",2,"0,03",1,"0,06",0,0,0,0,0,0,0,0,0,0
"Gatorade, varios sabores",,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jugo concentrado con azúcar, para 
diluir",,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jugo congelado con azúcar en sa-
chet",,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jugo de fruta envasado, varios sa-
bores",,14,42,2,"0,018",4,"0,11",3,"0,02","0,20",4,0,2,0,"0,045","0,015",0,"13,0",0
Jugo en polvo con azúcar,,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0
"Powerade, varios sabores",,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
