0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Agua saborizada Flip light,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua saborizada H2O, varios sabores",,13,0,0,0,0,0,0,0,"1,60",0,0,0,0,0,0,0,0,0
"Agua saborizada Levité Cero, varios 
sabores light",,19,0,0,0,0,0,0,0,0,29,18,0,0,0,0,"0,14",0,0
"Agua saborizada light, PROMEDIO",,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agua saborizada We o Ser ligth,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amargo serrano light,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaseosa light, PROMEDIO",,18,2,4,"0,022",3,"0,03",1,0,0,0,0,0,0,0,0,0,0,0
"Gatorade Zero, varios sabores (sin 
azúcar)",,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jugo en polvo BC,,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"378,0",0
Jugo en polvo light,,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jugo tipo BC, varios sabores (alimen-
to líquido dietético con 50% de jugo 
y pulpa)",,4,92,5,"0,011",9,"0,05",5,"0,02","0,10",12,0,5,0,"0,020","0,011",0,"4,5",0
"Powerade Zero, varios sabores (sin 
azúcar)",,45,12,0,0,0,0,0,0,"1,25",0,0,0,0,0,0,0,0,0
