0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Ananá Fizz,,7,72,8,"0,04",3,"0,50",3,0,0,0,0,0,0,0,0,0,0,0
"Aperitivo, tipo Gancia",,9,92,8,"0,045",9,"0,24",9,"0,07","0,21",0,0,0,0,"0,018","0,018",0,0,0
"Bebida destilada, PROMEDIO","0,01",1,2,0,"0,021",4,"0,04",0,"0,04","0,01",0,0,0,0,"0,006","0,004",0,0,0
Bebida energizante,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerveza con alcohol,"0,16",4,27,4,"0,005",14,"0,02",6,"0,01","0,51",6,0,0,0,"0,005","0,025","0,02",0,0
Cerveza sin alcohol,"0,12",3,40,5,"0,005",20,"0,02",8,"0,008","0,61",15,0,0,0,"0,055","0,017","0,02","0,5",0
Champagne,,5,71,9,"0,004",18,"0,27",10,"0,12","0,11",1,0,0,0,"0,005","0,015",0,0,0
"Chicha, bebida tradicional obtenida 
por fermentación del maíz",,,,25,,35,"3,50",,,,,0,0,0,,,0,0,0
Dr. Lemon,"0,13",5,27,4,"0,008",7,"0,03",4,"0,01","0,23",4,0,0,0,"0,006","0,010","0,01","2,8",0
Fernet,,5,42,8,0,7,"0,50",5,0,0,0,0,0,0,0,0,0,0,0
"Licor, PROMEDIO",,5,0,0,"0,08",0,"0,07",0,"0,04","0,00",0,0,0,0,0,0,0,0,0
Sidra,,7,72,8,"0,04",3,"0,50",3,0,0,0,0,0,0,0,0,0,0,0
Vermouth,,23,42,8,0,7,"0,50",5,0,0,0,0,0,0,0,0,0,0,0
Vino blanco,"0,2",5,71,9,"0,004",18,"0,27",10,"0,12","0,11",1,0,0,0,"0,005","0,015",0,0,0
"Vino espumante, tipo Frizze",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vino Mistela,"0,3",9,92,8,"0,045",9,"0,24",9,"0,07","0,21",0,0,0,0,"0,018","0,018",0,0,0
Vino tinto,"0,24",5,99,8,"0,007",20,"0,37",11,"0,13","0,17",1,0,0,0,"0,005","0,023",0,0,0
Vodka,"0,01",1,2,0,"0,021",4,"0,04",0,"0,04","0,01",0,0,0,0,"0,006","0,004",0,0,0
