0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"McDonald's, BigMc",,453,181,116,"0,098",122,"2,00",20,"1,91","3,38",46,0,0,0,"0,176","0,209","0,88","0,4",0
"McDonald's, Cajita Feliz, Hambur-
guesa con queso Grill",,595,200,167,"0,097",140,"2,35",20,"1,91","4,03",59,0,0,0,"0,223","0,260","0,86","0,6",0
"McDonald's, Cajita Feliz, Hambur-
guesa Grill","2,18",464,192,127,"0,096",107,"2,87",21,"1,95","4,54",64,0,0,0,"0,247","0,239","0,83","0,6",0
"McDonald's, Cajita Feliz, Mc Tostado",,732,165,144,"0,13",252,"2,76",30,"1,64","4,31",117,45,28,27,"0,612","0,369","0,42",0,"0,13"
"McDonald's, Cajita Feliz, McNuggets 
X4",,344,252,11,"0,049",272,"0,89",24,"0,59","7,40",0,0,0,0,"0,160","0,110","0,33","1,2",0
"McDonald's, Cajita Feliz, Papas Kids",,220,596,19,"0,114",127,"0,80",37,"0,51","3,22",35,0,0,0,"0,180","0,037",0,"5,6",0
"McDonald's, Cajita Feliz, Papas pe-
queñas",,220,596,19,"0,114",127,"0,80",37,"0,51","3,22",35,0,0,0,"0,180","0,037",0,"5,6",0
"McDonald's, Cajita Feliz, Tomate 
cherry 50g",,4,274,10,"0,05",31,"0,34",12,"0,2","0,40",24,0,40,0,"0,050","0,020",0,"15,0",0
"McDonald's, Club House",,256,242,106,"0,091",165,"2,18",21,"3,33","4,21",45,0,0,0,"0,127","0,303","1,68","0,6",0
"McDonald's, Clubhouse/ Guaca-
mole/ Cryspi Onion BBQ con pollo 
crispy",,381,184,96,"0,073",150,"1,78",20,"0,75","4,37",72,0,0,0,"0,234","0,216","0,17","0,9",0
"McDonald's, Clubhouse/ Guacamo-
le/ Cryspi Onion BBQ con pollo grill",,280,184,96,"0,073",150,"1,78",20,"0,75","4,37",72,0,0,0,"0,234","0,216","0,17","0,9",0
"McDonald's, Cono",,89,193,129,"0,023",111,"0,35",13,"0,5","0,50",9,0,0,0,"0,043","0,246","0,58",0,0
"McDonald's, Cuarto de Libra",,524,227,84,"0,107",124,"2,41",22,"2,69","4,45",56,0,0,0,"0,183","0,344","1,28","0,9",0
