0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"McDonald's, Doble Cuarto de Libra 
con queso",,439,242,106,"0,091",165,"2,18",21,"3,33","4,21",45,0,0,0,"0,127","0,303","1,68","0,6",0
"McDonald's, Hamburguesa","2,18",464,192,127,"0,096",107,"2,87",21,"1,95","4,54",64,0,0,0,"0,247","0,239","0,83","0,6",0
"McDonald's, Hamburguesa con 
queso",,595,200,167,"0,097",140,"2,35",20,"1,91","4,03",59,0,0,0,"0,223","0,260","0,86","0,6",0
"McDonald's, Mc Flurry Oreo","0,92",75,198,129,"0,03",111,"0,61",14,"0,5","0,26",5,0,92,92,"0,048","0,229","0,58",0,0
"McDonald's, Mcnífica",,365,187,120,"0,1",106,"1,84",16,"1,4","2,83",5,0,5,1,"0,168","0,191","0,60","3,3",0
"McDonald's, McNuggets x 10",,344,252,11,"0,049",272,"0,89",24,"0,59","7,40",0,0,0,0,"0,160","0,110","0,33","1,2",0
"McDonald's, McPollo Grill",,474,184,96,"0,073",150,"1,78",20,"0,75","4,37",72,0,0,0,"0,234","0,216","0,17","0,9",0
"McDonald's, Papas grandes",,220,596,19,"0,114",127,"0,80",37,"0,51","3,22",35,0,0,0,"0,180","0,037",0,"5,6",0
"McDonald's, Papas medianas",,220,596,19,"0,114",127,"0,80",37,"0,51","3,22",35,0,0,0,"0,180","0,037",0,"5,6",0
"McDonald's, Papas pequeñas",,220,596,19,"0,114",127,"0,80",37,"0,51","3,22",35,0,0,0,"0,180","0,037",0,"5,6",0
"McDonald's, Pollo Jr.",,474,184,96,"0,073",150,"1,78",20,"0,75","4,37",72,0,0,0,"0,234","0,216","0,17","0,9",0
"McDonald's, Sundae chocolate",,62,246,139,"0,051",128,"0,83",19,"0,56","0,15",0,0,81,81,"0,042","0,226","0,55",0,0
"McDonald's, Sundae dulce de leche",,62,186,127,"0,015",112,"0,08",12,"0,45","0,11",2,0,92,92,"0,037","0,223","0,51",0,0
"McDonald's, Sundae frutilla",,62,173,110,"0,015",91,"0,10",11,"0,39","0,13",11,0,81,81,"0,039","0,195","0,49","1,5",0
"McDonald's, Triple Mac",,694,227,84,"0,107",124,"2,41",22,"2,69","4,45",56,0,0,0,"0,183","0,344","1,28","0,9",0
