0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Dextrosa en polvo (gramo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ensure Plus (mililitro),"0,6",95,175,79,"0,198",79,"1,79",40,"1,51","1,98",67,40,149,149,"0,151","0,171","0,60","11,9","1,60"
Ensure Plus drink (mililitro),"0,6",95,175,79,"0,198",79,"1,79",40,"1,51","1,98",67,40,149,149,"0,151","0,171","0,60","11,9","1,60"
Ensure polvo (gramo),3,360,670,450,"0,285",235,"4,00",75,"4,7","5,00",221,130,470,470,"0,800","0,800","1,50","54,0","4,80"
Espesan (gramo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortisip Standard (mililitro),,90,159,91,"0,27",78,"2,40",23,"1,8","2,70",68,40,123,123,"0,230","0,240","0,32","15,0","1,10"
Frebini energy drink (mililitro),"0,6",95,175,79,"0,198",79,"1,79",40,"1,51","1,98",67,40,149,149,"0,151","0,171","0,60","11,9","1,60"
Glucerna SR polvo (gramo),,437,691,437,"0,25",230,"2,10",42,"4,6","9,20",196,115,369,369,"0,780","0,920","1,50","41,4","4,40"
Jevity (mililitro),,93,157,92,"0,15",72,"1,40",22,"1,1","1,80",46,27,20,20,"0,170","0,200","0,39","10,0","0,75"
Kas Mil polvo (gramo),,400,610,510,"0,36",350,"6,10",51,"5,1","1,50",41,24,456,456,"0,250","0,370","0,90","50,0","7,50"
"MCT Oil-triglicéridos de cadena 
media (Nutricia Bagó) (mililitro)",0,0,0,0,"0,0",0,0,0,0,"0,00",0,0,0,0,0,0,0,0,0
Neocate polvo (gramo),,189,525,475,"0,41",341,"7,30",51,"5,3","4,90",109,64,406,406,"0,540","0,540","1,30","51,6","8,80"
Nutramigen LGG (gramo),3,240,560,470,"0,38",260,"9,10",40,"5,1","5,10",134,79,450,450,"0,400","0,450","1,52","61,0","10,00"
Osmolite NH (mililitro),,88,148,68,"0,17",68,"1,40",20,"1,3","1,70",39,23,108,108,"0,160","0,180","0,34","10,0","0,73"
"Pediasure complete, en polvo (gra-
mo)",,176,606,463,"0,3",388,"6,48",92,"3,1","6,94",189,111,278,278,"1,430","0,980","1,39","46,3","9,25"
Polimerosa (gramo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supportan (mililitro),,48,128,203,"0,375",120,"2,50",26,2,"3,70",105,62,150,3,"0,300","0,400","0,75","37,6","2,50"
Fresubin Powder Fibre (gramo),,437,691,437,"0,25",230,"2,10",42,"4,6","9,20",196,115,369,369,"0,780","0,920","1,50","41,4","4,40"
"Herbalife- Batido nutricional protei-
co. Formula 1 (gramo)",,1214,1000,714,"2,5",1429,"22,50",500,"18,75","25,00",971,571,1875,1875,"2,143","2,125","6,43","75,0","12,50"
"Herbalife-Batido de cookies y 
cream. Formula 1 (gramo)",,1214,1000,714,"2,5",1429,"22,50",500,"18,75","25,00",971,571,1875,1875,"2,143","2,125","6,43","75,0","12,50"
