0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Aceituna negra,"2,23",735,8,88,"0,251",3,"6,28",4,"0,22","0,04",0,0,17,0,"0,003",0,0,"0,9",0
Aceituna verde,"4,53",1556,42,52,"0,12",17,"1,03",11,"0,04","0,24",3,0,20,0,"0,025","0,007",0,0,0
Acerola,"0,2",7,146,12,"0,086",11,"0,20",18,"0,1","0,40",14,0,38,0,"0,020","0,060",0,"1677,6",0
Ananá,"0,40",2,160,12,"0,11",8,"0,42",2,"0,12","1,00",18,0,3,0,"0,066","0,032",0,"40,3",0
"Ananá, enlatado (fruta y almíbar)","0,40",1,57,13,"0,101",5,"0,38",16,"0,12","0,29",5,0,1,0,"0,080","0,025",0,"12,8",0
Arándanos,"0,24",1,77,6,"0,057",12,"0,28",6,"0,16","0,42",6,0,3,0,"0,037","0,041",0,"9,7",0
Banana,"0,8",1,348,7,"0,078",28,"0,41",27,"0,15","1,20",20,0,3,0,"0,061","0,087",0,"6,1",0
Cereza,"0,60",3,222,16,"0,06",17,"0,38",11,"0,07","0,15",4,0,3,0,"0,002","0,035",0,"5,6",0
Ciruela,"0,50",2,190,24,"0,057",16,"0,41",7,"0,1","0,60",5,0,17,0,"0,026","0,059",0,"4,2",0
Ciruela pasa / ciruela seca,"3,50",21,846,46,"0,281",92,"1,81",41,"0,44","1,88",4,0,39,0,"0,150","0,186",0,"4,0",0
Coco rallado,"1,42",262,337,15,"0,313",107,"1,92",50,"1,82","0,47",8,0,0,0,"0,031","0,020",0,"0,7",0
"Coctail de frutas, enlatado (fruta y 
almíbar)","0,23",6,88,6,"0,069",11,"0,29",5,"0,08","0,37",3,0,10,0,"0,018","0,019",0,"1,9",0
Damasco,"0,60",1,320,17,"0,078",21,"0,37",10,"0,2","0,77",9,0,96,0,"0,030","0,066",0,"6,0",0
Dátiles,"1,67",2,676,52,"0,284",62,"0,96",49,"0,37","1,44",17,0,4,0,"0,051","0,063",0,"0,2",0
Durazno,"0,50",3,259,5,"0,068",19,"0,38",9,"0,17","0,80",4,0,16,0,"0,020","0,040",0,"6,3",0
Durazno orejón,"2,5",7,996,28,"0,364",119,"4,06",42,"0,57","4,38",0,0,108,0,"0,002","0,212",0,"4,8",0
"Durazno, enlatado (fruta y almíbar)","0,40",1,151,4,"0,051",10,"0,27",5,"0,09","0,61",3,0,17,0,"0,011","0,024",0,"3,6",0
"Durazno, enlatado light (fruta y al-
míbar)","0,27",3,99,2,"0,054",10,"0,32",5,"0,09","0,521",3,0,27,0,"0,009","0,019",0,"2,9",0
Frambuesa,"0,46",1,151,25,"0,09",29,"0,69",22,"0,42","0,60",21,0,2,0,"0,032","0,038",0,"26,2",0
Frutas abrillantadas,"0,14",98,56,18,"0,029",5,"0,17",4,"0,05",0,0,0,1,0,0,0,0,0,0
