0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Frutilla,"0,50",2,161,22,"0,05",23,"0,71",13,"0,14","0,40",43,0,1,0,"0,041","0,051",0,"58,8",0
Granada,"0,50",3,236,11,"0,158",36,"0,78",12,"0,35","0,29",38,0,3,0,"0,067","0,030",0,"10,2",0
Guayaba,"1,39",2,290,18,"0,23",40,"0,26",22,"0,23","1,08",49,0,31,0,"0,067","0,040",0,"228,3",0
Higo,"0,60",2,268,34,"0,07",32,"0,42",17,"0,15","0,40",6,0,7,0,"0,06","0,045",0,"2,0",0
Higo desecado,"1,86",10,680,162,"0,287",67,"2,03",68,"0,55","0,62",9,0,0,0,"0,085","0,082",0,"1,2",0
Kaki,"0,60",1,161,8,"0,113",17,"0,15",9,"0,11","0,10",8,0,81,0,"0,016","0,001",0,"13,1",0
Kinoto,"0,6",10,186,62,"0,095",19,"0,86",20,"0,17","0,43",17,0,15,0,"0,083","0,096",0,"57,6",0
Kiwi,"0,61",3,312,34,"0,13",34,"0,31",17,"0,14","0,34",25,0,4,0,"0,027","0,025",0,"92,7",0
Limón,"0,50",6,163,26,"0,037",21,"0,35",8,"0,06","0,10",11,0,1,0,"0,051","0,012",0,"62,6",0
Mamón,"0,39",5,200,23,"0,08",13,"0,50",21,"0,2","0,30",37,0,68,0,"0,030","0,040",0,"60,0",0
Mandarina,"0,38",2,166,37,"0,042",20,"0,15",12,"0,07","0,38",16,0,34,0,"0,058","0,036",0,"26,7",0
Mango,"0,36",1,168,11,"0,111",14,"0,16",10,"0,09","0,67",43,0,54,0,"0,028","0,038",0,"36,4",0
Manzana con piel,"0,19",1,107,6,"0,027",11,"0,12",5,"0,04","0,09",3,0,3,0,"0,017","0,026",0,"4,6",0
Manzana sin piel,"0,30",5,122,4,"0,031",9,"0,07",4,"0,05","0,20",0,0,2,0,"0,019","0,028",0,"2,8",0
Maracuyá,"0,8",28,348,12,"0,086",68,"1,60",29,"0,1","1,50",14,0,64,0,0,"0,130",0,"30,0",0
Melón,"0,41",18,228,6,"0,024",11,"0,17",10,"0,09","0,42",19,0,3,0,"0,038","0,012",0,"18,0",0
Membrillo,"0,40",3,203,14,"0,13",19,"0,32",8,"0,04","0,20",3,0,2,0,"0,032","0,030",0,"13,0",0
Mora,"0,37",1,162,29,"0,165",22,"0,62",20,"0,53","0,65",25,0,11,0,"0,020","0,026",0,"21,0",0
Naranja,"0,44",0,181,40,"0,045",14,"0,1",10,"0,07","0,282",30,0,11,0,"0,087","0,04",0,"53,2",0
Níspero,"0,54",4,263,19,"0,17",23,"0,30",10,"0,05","0,18",14,0,76,0,"0,020","0,030",0,"2,0",0
