0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Palta,"1,58",7,485,12,"0,19",52,"0,55",29,"0,64","1,10",87,0,7,0,"0,067","0,130",0,"10,0",0
Papaya,"0,39",5,200,23,"0,08",13,"0,50",21,"0,2","0,30",37,0,68,0,"0,030","0,040",0,"60,0",0
Pera,"0,40",2,129,8,"0,082",10,"0,19",7,"0,1","0,16",7,0,1,0,"0,030","0,040",0,"3,0",0
Pera orejón,"1,7",6,533,34,"0,371",59,"2,10",33,"0,39","1,30",0,0,0,0,"0,061","0,106",0,"9,2",0
"Pera, enlatada (fruta y almíbar)","0,15",5,65,5,"0,049",7,"0,22",4,"0,08","0,24",1,0,0,0,"0,010","0,022",0,"1,1",0
"Pera, enlatada light (fruta y almíbar)","0,16",2,53,4,"0,051",7,"0,21",4,"0,09","0,05",1,0,0,0,"0,008","0,010",0,"1,0",0
Pomelo,"0,70",1,147,13,"0,047",10,"0,21",8,"0,07","0,25",10,0,46,0,"0,104","0,078",0,"47,8",0
"Puré de frutas envasado (alimento 
infantil)","0,2",0,71,4,"0,038",7,"0,22",3,"0,02","0,06",2,0,1,0,"0,012","0,028",0,"15,5",0
Sandía,"0,30",8,100,11,"0,042",3,"0,23",10,"0,1","0,18",3,0,28,0,"0,033","0,022",0,"9,1",0
Uva,"0,48",2,191,10,"0,127",20,"0,36",7,"0,07","0,19",2,0,3,0,"0,069","0,070",0,"3,2",0
Uva pasa,"1,68",26,744,62,"0,272",98,"1,79",36,"0,36","0,77",5,0,0,0,"0,106","0,125",0,"2,3",0
