0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Almidón de maíz, crudo","0,09",9,3,2,"0,05",13,"0,47",3,"0,06",0,0,0,0,0,0,0,0,0,0
"Almidón de mandioca, crudo","0,09",9,3,2,"0,05",13,"0,47",3,"0,06",0,0,0,0,0,0,0,0,0,0
"Amaranto, crudo","2,4",4,508,159,"0,525",557,"10,40",248,"4,2","0,92",82,0,0,0,"0,116","0,200",0,"4,2",0
"Amaranto, hervido","0,77",6,135,47,"0,149",148,"2,10",65,"0,86","0,24",22,0,0,0,"0,015","0,022",0,"1,0",0
Anchi,"0,50",22,125,45,"0,06",52,"0,53",10,"0,24","0,46",13,0,10,6,"0,043","0,081","0,16","3,7","0,01"
"Arroz blanco, crudo","1,2",4,66,9,"0,11",84,"0,63",35,"1,16","1,60",9,0,0,0,"0,038","0,091",0,0,0
"Arroz blanco, hervido","0,21",0,29,3,"0,038",37,"0,20",13,"0,42","0,40",2,0,0,0,"0,020","0,016",0,0,0
"Arroz envasado deshidratado listo 
para preparar con salsa u otros 
ingredientes (tipo cuatro quesos, 
primavera, etc.)","5,1",1193,351,140,"0,189",369,"4,74",88,"1,45","1,60",9,0,0,0,"0,070","0,048",0,"2,1",0
Arroz inflado azucarado,"0,4",3,113,6,"0,169",98,"0,44",25,"1,03","1,12",19,0,0,0,"0,027","0,064",0,0,0
"Arroz integral, crudo","1,21",5,250,9,"0,302",280,"1,16",110,"2,02","6,17",14,0,0,0,"0,410","0,090",0,0,0
"Arroz integral, hervido","0,44",4,86,3,"0,106",103,"0,56",39,"0,71","2,56",9,0,0,0,"0,178","0,069",0,0,0
"Arroz yamaní, crudo","1,27",4,268,33,"0,277",264,"1,80",143,"2,02","4,31",20,0,0,0,"0,413","0,043",0,0,0
"Arroz yamaní, hervido","0,39",1,79,10,"0,081",77,"0,53",44,"0,62","1,33",4,0,0,0,"0,102","0,012",0,0,0
"Arveja, semilla seca entera / partida, 
cruda","2,65",16,988,51,"0,809",349,"4,50",118,"3,7","3,20",151,0,7,0,"0,719","0,244",0,"1,8",0
"Arveja, semilla seca entera / partida, 
hervida","0,68",2,362,14,"0,181",99,"1,29",36,1,"0,89",65,0,0,0,"0,190","0,056",0,"0,4",0
"Avena, almohaditas",,168,234,19,"0,308",196,"3,33",80,"2,04","1,64",185,88,0,0,"0,566","0,143",0,0,0
"Avena, arrollada, cruda","2,1",2,426,36,"0,626",360,"4,17",177,"4,4","1,40",56,0,0,0,"0,594","0,158",0,0,0
