0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Avena, arrollada, hervida",,0,75,9,"0,085",86,"1,02",26,"0,57","0,32",11,0,0,0,"0,109","0,039",0,0,0
Barra crocante de arroz,"0,5",2,27,4,"0,04",34,"0,26",14,"0,5","0,58",4,0,0,0,"0,012","0,033",0,0,0
Barra de cereal fortificada,,200,308,869,"0,24",177,"9,10",50,10,"19,50",369,217,522,522,"1,220","1,220","1,09","26,0","5,70"
Barra de cereal light,,161,308,88,"0,24",177,"1,81",50,"1,0","1,50",10,0,0,0,"0,180","0,080",0,"2,0",0
"Barra de cereales, PROMEDIO",,156,308,51,"0,24",177,"1,81",50,"1,0","1,50",10,0,0,0,"0,180","0,080",0,"2,0",0
"Batata, cruda","1,10",6,417,34,"0,151",64,"0,25",25,"0,3","1,10",11,0,328,0,"0,103","0,140",0,"20,1",0
"Batata, hervida","1,00",6,230,32,"0,094",66,"0,42",18,"0,2","0,54",6,0,330,0,"0,056","0,047",0,"10,0",0
"Bizcochitos de arroz envasados 
(tipo galletita)",,403,59,8,"0,099",76,"0,57",32,"1,04","1,44",8,0,0,0,"0,034","0,082",0,0,0
Bizcochitos de grasa envasados,"0,4",636,133,9,"0,12",109,"3,44",18,"0,6","2,24",236,128,0,0,"0,614","0,166",0,0,"0,28"
"Bizcochitos de grasa envasados 
light",,576,133,9,"0,12",109,"3,44",18,"0,6","2,24",236,128,0,0,"0,614","0,166",0,0,"0,28"
"Bizcochos de grasa (panadería) / 
Criollitos, Libritos (pan con grasa)","1,8",580,119,8,"0,10",94,"2,84",16,"0,7","1,84",202,103,0,0,"0,470","0,140",0,0,0
Bizcochos tipo Bay Biscuit,,245,97,111,"0,086",125,"2,68",14,"0,51","2,65",105,53,18,18,"0,315","0,308","0,09",0,0
Bizcochuelo preparado (panadería),"1,2",623,99,70,"0,062",137,"2,72",11,"0,51","1,93",71,34,44,44,"0,243","0,269","0,24",0,"0,20"
"Bizcochuelo preparado a partir de 
polvo premezcla","1,2",453,99,70,"0,062",137,"2,72",11,"0,51","1,93",71,34,44,44,"0,243","0,269","0,24",0,"0,36"
"Bizcochuelo preparado a partir de 
polvo premezcla, SIN TACC","0,3",218,44,60,"0,010",49,"0,53",4,"0,3","0,03",55,28,26,25,"0,164","0,130","0,35",0,"0,20"
Bollitos de anís,"0,442",533,129,13,"0,100",109,"2,96",16,"0,86","2,10",200,97,53,52,"0,528","0,214","0,11","0,0","0,09"
Brownie (panadería),,187,217,44,"0,49",135,"1,75",60,"1,1","0,40",14,0,244,233,"0,070","0,120","0,60",0,"0,80"
