0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Galletas de arroz sin sal,"1,7",26,290,11,"0,445",360,"1,49",131,3,"7,81",21,0,0,0,"0,061","0,165",0,0,0
"Galletitas de agua con girasol alto 
oleico","2,79",566,152,19,"0,139",102,"3,65",23,"0,69","3,20",216,117,1,1,"0,702","0,487","0,09",0,0
Galletitas de agua con grasa vacuna,"2,79",566,152,19,"0,139",102,"3,65",23,"0,69","3,20",216,117,1,1,"0,702","0,487","0,09",0,0
Galletitas de agua light,"2,79",566,152,19,"0,139",102,"3,65",23,"0,69","3,20",216,117,1,1,"0,702","0,487","0,09",0,0
Galletitas de agua sin sal,1,18,152,19,"0,139",102,"3,65",23,"0,69","3,20",216,117,1,1,"0,702","0,487","0,09",0,0
"Galletitas de agua sin sal con chía 
y lino",,20,152,19,"0,139",102,"3,65",23,"0,69","3,20",216,117,1,1,"0,702","0,487","0,09",0,0
"Galletitas de agua, PROMEDIO","2,79",566,152,19,"0,139",102,"3,65",23,"0,69","3,20",216,117,1,1,"0,702","0,487","0,09",0,0
Galletitas de salvado o integrales,"1,89",543,182,19,"0,42",200,"3,34",110,"2,2","2,40",28,0,0,0,"0,182","0,021",0,0,0
"Galletitas dulces con centro de 
membrillo o similar (tipo Pepas)","0,3",88,101,7,"0,1",77,"2,46",13,"0,4","1,55",165,89,0,0,"0,426","0,115",0,0,"0,19"
"Galletitas dulces con chips de cho-
colate","1,27",418,134,0,"0,204",63,"3,22",32,"0,59","1,98",96,49,0,0,"0,263","0,185",0,0,0
"Galletitas dulces de almidón de maíz 
(tapita de alfajor)","1,3",233,100,42,"0,157",111,"2,75",18,"0,64","1,40",165,89,0,0,"0,350","0,326","0,05",0,0
Galletitas dulces hojaldradas,,431,76,11,"0,1",50,"2,00",11,"0,4","1,50",119,70,0,0,"0,180","0,120",0,0,0
Galletitas dulces obleas,"1,2",388,91,27,"0,114",75,"2,21",14,"0,4","0,60",82,46,0,0,"0,261","0,100",0,0,0
Galletitas dulces rellenas,"1,37",388,163,24,"0,224",84,"2,21",31,"0,57","1,60",92,52,1,0,"0,229","0,241",0,0,0
"Galletitas dulces rellenas bañadas 
en chocolate",,232,70,45,"0,05",100,"3,00",20,"0,7","1,20",85,0,0,0,"0,300","0,250",0,0,0
Galletitas dulces simples,"1,3",233,100,42,"0,157",111,"2,75",18,"0,64","1,40",165,89,0,0,"0,350","0,326","0,05",0,0
Galletitas dulces tipo Frutigran,,315,100,42,"0,157",111,"2,75",18,"0,64","1,40",165,89,0,0,"0,350","0,326","0,05",0,0
"Galletitas dulces, SIN TACC",,17,157,19,"0,261",70,"0,70",40,"0,66","0,39",0,0,0,0,"0,050","0,076",0,0,0
