0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Alimento a base de leche entera y 
café, fortificado con calcio, varios 
sabores, listo para consumir",,111,83,120,,56,"0,05",7,"0,22","0,06",3,0,12,11,"0,018","0,111","0,30","0,1","0,02"
"Bebida láctea parcialmente descre-
mada fluida, baja en lactosa, forti-
ficada con vitaminas A, D, B2, B9 y 
Zinc",,15,28,121,,19,"1,00",2,"0,38","0,02",87,51,64,64,"0,006","0,037","0,09","8,2","1,0"
Flan envasado listo para consumir,,86,151,119,"0,01",93,"0,05",13,"0,38","0,08",5,0,33,31,"0,038","0,161","0,36","1,5",0
"Flan envasado listo para consumir 
light",,91,151,119,"0,01",93,"0,05",13,"0,38","0,08",5,0,33,31,"0,038","0,161","0,36","1,5",0
Leche condensada,"1,83",127,371,284,"0,015",253,"0,19",26,"0,94","0,21",11,0,74,73,"0,090","0,416","0,44","2,6","0,24"
"Leche de cabra, entera, en polvo","10,0",169,1069,956,"0,3",869,"1,63",88,"1,9","1,73",6,0,356,350,"0,270","0,863","0,31","6,9","0,63"
"Leche de cabra, entera, fluida","1,60",27,171,153,"0,046",139,"0,26",14,"0,3","0,28",1,0,57,56,"0,048","0,138","0,07","1,3","0,1"
"Leche de oveja, entera, fluida","0,90",30,187,207,"0,046",123,"0,10",18,"0,54","0,42",7,0,44,44,"0,065","0,355","0,71","4,2","0,2"
"Leche de vaca, ordeñada (sin ningún 
tipo de procesamiento)","0,72",49,151,119,"0,01",93,"0,05",13,"0,38","0,08",5,0,33,31,"0,038","0,161","0,36","1,5",0
"Leche descremada en polvo, fortifi-
cada con vitaminas A y D","8,20",563,1640,1303,"0,041",1027,"0,53",110,"4,08","0,95",50,0,326,320,"0,415","1,550","4,03","6,8",5
"Leche descremada en polvo, tipo 
Nido Buen Día, fortificada con hierro 
y calcio",,370,1224,1000,"0,080",761,"6,00",85,3,"0,65",37,0,512,507,"0,283","1,205","3,25","38,0",8
"Leche descremada fluida, con 50% 
más de proteínas",,53,138,121,0,94,0,11,0,0,5,0,60,60,"0,030","0,185","0,50",0,1
