0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Leche en polvo, 25% menos de gra-
sas saturadas, fortificada con vita-
minas A, D, C, calcio y zinc",,331,1224,833,"0,08",600,"6,50",85,"4,2","0,65",37,0,419,419,"0,283","1,205","3,25","42,3","4,60"
"Leche entera en polvo tipo Nido 
Fortigrow",,342,1224,942,"0,08",561,"6,15",85,"5,4","0,65",127,51,457,457,"0,283","1,205","1,90","38,5","3,50"
"Leche entera en polvo, deslactosa-
da, fortificada con vitaminas A y D *","5,70",404,1224,821,"0,08",761,"0,54",85,"3,3","0,65",37,0,511,511,"0,283","1,205","3,25","8,6","7,70"
"Leche entera en polvo, fortificada 
con hierro","5,70",404,1224,821,"0,08",761,"12,00",85,"3,3","0,65",37,0,258,253,"0,283","1,205","3,25","8,6","0,50"
"Leche entera en polvo, fortificada 
con vitaminas A y D","5,70",404,1224,821,"0,08",761,"0,54",85,"3,3","0,65",37,0,512,507,"0,283","1,205","3,25","8,6","8,00"
"Leche entera en polvo, Plan Mater-
no Infantil / Programas Sociales / 
otros, fortificada con hierro, zinc y 
ác. ascórbico","5,70",404,1224,821,"0,08",761,"12,50",85,"9,3","0,65",37,0,512,507,"0,283","1,205","3,25","108,6","0,50"
"Leche entera en polvo, Plan Materno 
Infantil, sin fortificación","5,70",404,1224,821,"0,08",761,"0,54",85,"3,3","0,65",37,0,258,253,"0,283","1,205","3,25","8,6","0,50"
"Leche entera en polvo, Plan Vida, 
Ministerio de Desarrollo Social Pcia. 
de Bs. As., fortificada con vitaminas 
A y D","5,70",404,1224,821,"0,08",761,"0,54",85,"3,3","0,65",37,0,512,512,"0,283","1,205","3,25","8,6","0,50"
"Leche entera en polvo, sin fortifica-
ción","5,70",404,1224,821,"0,08",761,"0,54",85,"3,3","0,65",37,0,258,253,"0,283","1,205","3,25","8,6","0,50"
"Leche entera fluida,  fortificada con 
hierro","0,66",57,137,123,"0,025",95,"1,50",10,"0,3","0,09",5,0,28,27,"0,046","0,169","0,45",0,"0,08"
