0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Leche materna,"0,60",11,44,32,"0,052",14,"0,04",3,"0,17","0,40",5,0,61,60,"0,018","0,035","0,05","4,4","3,00"
"Leche parcialmente descremada 
fluida, con Fitoesteroles y Ác. Grasos 
Omega 3, fortificada con calcio y vita-
minas A, D y E",,49,138,117,"0,008",94,"0,08",11,"0,37","0,09",5,0,66,66,"0,030","0,185","0,50","0,2","1,00"
"Leche parcialmente descremada 
fluida, deslactosada, fortificada con 
vitaminas A y D","0,68",55,138,120,"0,008",94,"0,08",11,"0,37","0,09",5,0,60,60,"0,030","0,185","0,50","0,2","1,00"
"Leche parcialmente descremada flui-
da, fortificada con hierro","0,68",55,138,120,"0,008",94,"1,50",11,"0,37","0,09",15,6,69,69,"0,030","0,185","0,50","8,0","0,88"
"Leche parcialmente descremada flui-
da, fortificada con vitaminas A y D","0,68",55,138,120,"0,008",94,"0,08",11,"0,37","0,09",5,0,60,60,"0,030","0,185","0,50","0,2","1,00"
"Leche parcialmente descremada flui-
da, fortificada con vitaminas A, D, C y 
ác. fólico","0,68",55,138,120,"0,008",94,"0,08",11,"0,37","0,09",27,13,64,64,"0,030","0,185","0,50","7,0","1,00"
"Leche parcialmente descremada flui-
da, sin fortificación","0,68",55,138,120,"0,008",94,"0,08",11,"0,37","0,09",5,0,20,19,"0,030","0,185","0,50","0,2","0,03"
"Leche parcialmente descremada, sa-
bor chocolate o dulce de leche, forti-
ficada con vitaminas A y D, lista para 
consumir",,69,138,120,0,94,"0,08",11,"0,37","0,09",5,0,63,63,"0,030","0,185","0,50",0,"0,55"
"Leche seguimiento etapa 3, sabor 
vainilla",,38,101,129,"0,045",74,"1,30",7,"0,9","0,24",24,14,75,75,"0,050","0,130","0,24","10,0","1,70"
