0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Yogur con fitoesteroles,"1,02",47,141,118,"0,013",88,0,16,"0,83","0,11",11,0,61,61,"0,042","0,200","0,53",0,"1,4"
Yogur descremado,"1,02",47,141,118,"0,013",88,0,16,"0,83","0,11",11,0,61,61,"0,042","0,200","0,53",0,"1,4"
Yogur descremado bebible,,115,146,135,"0,01",89,"0,08",12,"0,55","0,14",7,0,172,172,"0,028","0,136","0,34","0,5","1,2"
Yogur descremado con cereales,,60,141,118,"0,013",88,0,16,"0,83","0,11",11,0,97,97,"0,042","0,200","0,53",0,"0,72"
Yogur descremado con frutas,,111,155,121,"0,009",95,"0,05",12,"0,59","0,08",7,0,122,122,"0,029","0,142","0,37","0,5","0,95"
"Yogur descremado con frutas y ce-
reales",,61,141,420,"0,013",101,0,16,"0,83","0,11",11,0,115,115,"0,042","0,200","0,53",0,"2,08"
"Yogur descremado fortificado con 
calcio","1,02",47,141,118,"0,013",88,0,16,"0,83","0,11",11,0,61,61,"0,042","0,200","0,53",0,"1,4"
Yogur entero bebible saborizado,,97,146,119,"0,01",89,"0,08",12,"0,55","0,14",7,0,71,71,"0,028","0,136","0,34","0,5","0,58"
Yogur entero con cereales,,55,155,121,"0,009",95,"0,05",12,"0,59","0,08",7,0,77,77,"0,029","0,142","0,37","0,5","0,69"
Yogur entero con frutas,,84,155,121,"0,009",95,"0,05",12,"0,59","0,08",7,0,103,103,"0,029","0,142","0,37","0,5","0,82"
Yogur entero con frutas y cereales,"0,72",46,155,121,"0,009",95,"0,05",12,"0,59","0,08",7,0,27,27,"0,029","0,142","0,37","0,5","0,08"
Yogur entero natural,"0,72",46,155,121,"0,009",95,"0,05",12,"0,59","0,08",7,0,27,27,"0,029","0,142","0,37","0,5","0,08"
Yogur entero saborizado,"0,72",46,155,121,"0,009",95,"2,40",12,"0,59","0,08",7,0,66,66,"0,029","0,142","0,37","0,5","0,60"
Yogur fortificado con hierro,"1,02",47,141,118,"0,013",88,0,16,"0,83","0,11",11,0,61,61,"0,042","0,200","0,53",0,"1,4"
