0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Muzzarella rebozada sin freir (polle-
ría o granja)","2,856",480,110,378,"0,07",292,"1,70",24,"2,37","0,64",68,31,130,127,"0,173","0,263","1,58",0,"0,35"
Queso  Pategrás,"7,00",720,74,475,"0,036",530,"0,24",29,"3,9","0,06",21,0,165,164,"0,030","0,334","1,54",0,"0,50"
Queso Azul,"4,41",1210,74,662,"0,034",392,"0,56",30,"2,08","0,73",49,0,294,290,"0,040","0,404","0,64",0,"0,50"
"Queso blanco descremado, untable","1,29",106,260,116,"0,036",198,"0,19",22,"1,5","0,23",35,0,11,10,"0,040","0,265","0,95",0,0
"Queso blanco semidescremado, 
untable","2,03",182,120,99,"0,018",129,"0,11",10,"0,7","0,10",30,0,149,134,"0,040","0,340","0,40",0,"0,10"
Queso Cheddar,"3,66",644,76,711,"0,035",460,"0,16",27,"3,74","0,04",27,0,263,256,"0,027","0,434","0,88",0,"1,64"
Queso Chubut,"3,94",819,121,700,"0,036",546,"0,24",29,"3,9","0,06",21,0,165,164,"0,030","0,334","1,54",0,"0,50"
"Queso crema entero, untable","0,64",74,148,56,"0,018",97,"0,11",9,"0,5","0,09",9,0,308,303,"0,023","0,230","0,22",0,0
Queso Cremoso,"4,07",704,126,690,"0,025",467,"0,18",29,"3,06","0,04",,0,157,155,"0,048","0,230","1,75",0,"1,08"
Queso Cuartirolo,"3,70",360,64,625,"0,025",467,"0,18",29,"3,06","0,04",18,0,157,155,"0,048","0,230","1,75",0,"0,70"
Queso de cabra,"2,94",415,158,298,"0,564",375,"1,62",29,"0,66","1,15",2,0,407,401,"0,072","0,676","0,22",0,"0,88"
Queso de máquina,"3,94",819,121,700,"0,036",546,"0,24",29,"3,9","0,06",21,0,165,164,"0,030","0,334","1,54",0,"0,50"
Queso en hebras,"6,04",1175,92,1184,"0,032",694,"0,82",44,"2,75","0,27",7,0,207,201,"0,039","0,332","1,20",0,"0,76"
Queso en hebras light,,752,84,782,"0,025",463,"0,22",23,"2,76","0,11",9,0,127,124,"0,018","0,303","0,82",0,"0,48"
Queso Fontina,"3,79",800,64,550,"0,025",346,"0,23",14,"3,5","0,15",6,0,261,258,"0,021","0,204","1,68",0,"0,57"
Queso Fontina fundido light,,1040,330,529,"0,03",829,"0,20",33,"2,36","0,18",18,0,250,243,"0,070","0,480","1,11",0,"1,08"
Queso fresco sin sal,,49,84,782,"0,025",463,"0,22",23,"2,76","0,11",9,0,127,124,"0,018","0,303","0,82",0,"0,48"
Queso fundido,"5,8",1102,193,323,"0,02",577,"0,27",16,"1,3","0,09",4,0,278,270,"0,023","0,200","1,03",0,0
Queso Gruyére,"4,90",542,128,1080,"0,032",698,"0,26",36,"3,9","0,11",10,0,271,268,"0,040","0,279","1,60",0,"0,60"
Queso Holanda,"3,94",819,121,700,"0,036",546,"0,24",29,"3,9","0,06",21,0,165,164,"0,030","0,334","1,54",0,"0,50"
