0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Queso Mar del Plata,"7,00",720,74,475,"0,036",530,"0,24",29,"3,9","0,06",21,0,165,164,"0,030","0,334","1,54",0,"0,50"
Queso Mascarpone,"1,27",314,132,97,"0,018",107,"0,11",9,"0,5","0,09",9,0,308,303,"0,023","0,230","0,22",0,0
Queso Muzzarella,"3,10",486,76,505,"0,011",354,"0,44",20,"2,92","0,10",7,0,179,174,"0,030","0,283","2,28",0,"0,40"
Queso Parmesano,"7,18",1804,180,853,"0,04",627,"0,49",34,"4,2","0,08",6,0,262,255,"0,026","0,358","1,40",0,"0,84"
Queso pasta blanda descremado,"3,27",492,84,736,"0,025",463,"0,22",23,"2,76","0,11",9,0,127,124,"0,018","0,303","0,82",0,"0,48"
Queso pasta blanda doble crema,"1,60",475,136,721,"0,022",360,"0,43",24,"2,6","0,06",18,0,315,313,"0,014","0,240","1,50",0,"0,84"
"Queso pasta blanda, PROMEDIO *","4,07",704,126,690,"0,025",467,"0,18",29,"3,06","0,04",,0,157,155,"0,048","0,230","1,75",0,"1,08"
"Queso pasta dura, PROMEDIO **","4,71",727,138,756,"0,026",496,"0,52",28,"3,23","0,16",10,0,236,230,"0,019","0,321","1,46",0,"0,80"
"Queso pasta semidura, PROMEDIO 
***","3,94",819,121,700,"0,036",546,"0,24",29,"3,9","0,06",21,0,165,164,"0,030","0,334","1,54",0,"0,80"
Queso porsalut sin sal light,,55,84,782,"0,025",463,"0,22",23,"2,76","0,11",9,0,127,124,"0,018","0,303","0,82",0,"0,48"
Queso Provolone,"4,71",727,138,756,"0,026",496,"0,52",28,"3,23","0,16",10,0,236,230,"0,019","0,321","1,46",0,"0,80"
Queso rallado envasado,"7,18",1804,180,853,"0,04",627,"0,49",34,"4,2","0,08",6,0,262,255,"0,026","0,358","1,40",0,"0,84"
Queso Reggianito,"6,04",1175,92,1184,"0,032",694,"0,82",44,"2,75","0,27",7,0,207,201,"0,039","0,332","1,20",0,"0,76"
Queso Roquefort,"6,44",1809,91,662,"0,034",392,"0,56",30,"2,08","0,73",49,0,294,290,"0,040","0,586","0,64",0,"0,50"
Queso Sardo,"6,72",1433,86,1064,"0,03",760,"0,77",41,"2,58","0,08",7,0,96,90,"0,037","0,370","1,12",0,"0,80"
Queso Sbrinz,"4,71",727,138,756,"0,026",496,"0,52",28,"3,23","0,16",10,0,236,230,"0,019","0,321","1,46",0,"0,80"
