0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Queso untable tipo Finlandia,"5,8",409,240,328,"0,02",806,"0,19",10,"1,64","0,10",30,0,149,134,"0,040","0,240","0,40","0,4",0
Queso untable tipo Finlandia light,,364,240,367,"0,02",806,"0,19",10,"1,64","0,10",30,0,149,134,"0,040","0,240","0,40","0,4",0
Queso untable tipo Tholem,"5,8",1130,240,359,"0,02",806,"0,19",10,"1,64","0,10",30,0,149,134,"0,040","0,240","0,40","0,4",0
Queso untable tipo Tholem light,,800,240,359,"0,02",806,"0,19",10,"1,64","0,10",30,0,149,134,"0,040","0,240","0,40","0,4",0
"Queso untable, PROMEDIO","2,03",317,247,148,"0,032",152,"0,17",8,"0,57","0,13",19,0,161,160,"0,040","0,185","0,92",0,"0,44"
"Quesos de pasta semidura descre-
mados","3,27",619,84,782,"0,025",463,"0,22",23,"2,76","0,11",9,0,127,124,"0,018","0,303","0,82",0,"0,48"
Ricota,"1,58",146,155,193,"0,018",241,"0,26",20,"0,53","0,14",4,0,120,117,"0,013","0,298","0,85",0,"0,40"
Ricota descremada,"1,15",99,125,272,"0,034",183,"0,44",15,"1,34","0,08",13,0,107,105,"0,021","0,185","0,29",0,"0,24"
