0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Bondiola (fiambre),"3,85",1250,295,7,"0,09",199,"0,82",13,"2,35","2,72",3,0,0,0,"0,540","0,220","1,30","0,3",0
Butifarra,"2,72",788,308,19,"0,084",149,"1,41",20,"1,68","5,47",0,0,0,0,"0,207","0,310","2,00",0,"1,50"
"Cabra, cruda","1,11",82,385,13,"0,256",180,"2,83",0,4,"3,75",5,0,0,0,"0,110","0,490","1,13",0,0
"Cabra, al horno","1,46",86,405,17,"0,303",201,"3,73",0,"5,27","3,95",5,0,0,0,"0,090","0,610","1,19",0,0
Cantimpalo (fiambre),"5,37",1358,363,24,"0,096",192,"1,36",20,"2,67","6,11",0,0,11,11,"0,386","0,196","1,15",0,"1,44"
"Carpincho, crudo","0,88",57,319,11,"0,075",195,"0,89",21,"2,27","4,73",3,0,1,1,"0,622","0,255","0,67","0,3","1,16"
"Cerdo, PROMEDIO, crudo","0,88",57,319,11,"0,075",195,"0,89",21,"2,27","4,73",3,0,1,1,"0,622","0,255","0,67","0,3","0,7"
"Cerdo, PROMEDIO (horno/parrilla)","1,11",55,357,18,"0,078",231,"1,00",25,"2,9","6,50",3,0,1,1,"0,672","0,311","0,68","0,2","0,8"
"Chinchulines, tripa gorda, crudos","0,7",46,270,12,"0,15",110,"1,80",8,"2,5","2,00",2,0,53,53,"0,040","0,160","0,10",0,0
"Chinchulines, tripa gorda (horno/
parrilla)","0,9",58,338,15,"0,15",138,"2,25",10,"3,1","2,50",3,0,66,66,"0,050","0,200","0,13",0,0
"Chivito, crudo","1,11",82,385,13,"0,256",180,"2,83",0,4,"3,75",5,0,0,0,"0,110","0,490","1,13",0,0
Chivito (horno/parrilla),"1,46",86,405,17,"0,303",201,"3,73",0,"5,27","3,95",5,0,0,0,"0,090","0,610","1,19",0,0
"Chorizo, crudo","2,72",788,308,19,"0,084",149,"1,41",20,"1,68","5,47",0,0,0,0,"0,207","0,310","2,00",0,"1,50"
Chorizo (horno/parrilla),4,1079,422,26,0,204,"1,93",27,2,"6,74",0,0,0,0,"0,184","0,318","1,92",0,"2,05"
Chorizo seco,"5,5",1890,340,10,"0,16",229,"1,52",22,"4,2","5,60",2,0,0,0,"0,930","0,330","2,80",0,0
"Conejo, crudo","0,72",41,330,13,"0,145",213,"1,57",19,"1,57","7,27",8,0,0,0,"0,100","0,150","7,16",0,0
"Conejo, hervido","1,09",37,300,20,"0,176",226,"2,37",20,"2,37","7,16",9,0,0,0,"0,060","0,170","6,51",0,0
"Corazón, vacuno, crudo","1,1",98,287,7,"0,396",212,"4,31",21,"1,7","7,53",3,0,0,0,"0,238","0,906","8,55","2,0",0
"Cordero, PROMEDIO, crudo","0,88",74,284,13,"0,145",168,"1,43",20,"3,67","4,93",23,0,0,0,"0,133","0,261","2,47",0,0
"Cordero, PROMEDIO (horno/parrilla)","0,98",76,301,17,"0,142",195,"1,93",22,"4,68","5,44",23,0,0,0,"0,123","0,332","2,87",0,0
