0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Cuerito de cerdo,"0,49",32,185,5,"0,052",108,"0,52",4,"1,02","4,65",1,0,3,3,"0,396","0,242","0,84","0,3",0
Fiambre de cerdo,"3,7",814,287,24,"0,089",153,"1,02",22,"1,35","2,90",7,0,0,0,"0,626","0,178","0,42","4,0","1,16"
"Hamburguesa de carne vacuna (car-
nicería)","0,91",66,295,15,"0,067",171,"2,09",18,"4,48","4,65",6,0,4,4,"0,042","0,151","2,17",0,"0,12"
"Hamburguesa de carne vacuna, in-
dustrializada","2,62",703,278,7,"0,12",150,"1,79",16,"3,7","3,50",9,0,0,0,"0,010","0,150","2,00",0,0
"Hamburguesa de carne vacuna, in-
dustrializada light","2,39",754,320,11,"0,063",175,"2,01",19,"4,3","4,82",6,0,0,0,"0,049","0,154","1,97",0,0
"Hamburguesa de carne vacuna, in-
dustrializada, rebozada",,702,219,29,"0,05",119,"2,40",12,"1,8","3,60",41,18,8,8,"0,140","0,150","1,50",0,0
"Hamburguesa de pollo (pollería / 
granja)","0,86",69,196,10,"0,06",165,"1,37",19,"1,28","6,43",26,0,13,13,"0,059","0,171","0,99","2,4",0
"Hamburguesa de pollo, industriali-
zada","0,86",703,196,10,"0,06",165,"1,37",19,"1,28","6,43",26,0,13,13,"0,059","0,171","0,99","2,4",0
"Hígado, crudo","1,31",69,313,5,"9,755",387,"4,90",18,4,"13,18",290,0,4968,4948,"0,189","2,755","59,30","1,3","1,20"
Hígado (rehogado/plancha),"1,63",77,351,6,"14,588",485,"6,17",22,"5,23","17,48",260,0,7744,7728,"0,177","3,425","83,13","0,7","1,20"
"Hígado de pollo, crudo","1,06",71,230,8,"0,492",297,"8,99",19,"2,67","9,73",588,0,3296,3290,"0,305","1,778","16,58","17,9",0
"Hígado de pollo, cocido","1,47",92,315,10,"0,535",442,"12,88",27,"4,01","13,93",560,0,4296,4293,"0,292","2,313","21,13","2,7",0
"Jabalí, crudo","0,97",46,301,12,"0,1",120,"0,85",21,"2,29","4,00",5,0,0,0,"0,390","0,110","0,53",0,0
Jamón cocido,,800,340,7,"0,12",340,"0,70",24,"1,8","6,50",19,0,0,0,"0,800","0,170","1,00",0,0
Jamón crudo,,2130,250,9,"0,12",167,"1,70",25,"2,1","8,00",2,0,0,0,"1,000","0,250","0,60",0,"0,60"
Leberwurst,"3,1",860,170,26,"0,24",230,"6,40",12,"2,3","4,30",30,0,8308,8308,"0,272","1,030","13,46",0,"0,60"
"Lengua, cruda","0,8",69,315,6,"0,17",133,"2,95",16,"2,87","4,24",7,0,0,0,"0,125","0,340","3,79","3,1","0,4"
"Lengua, hervida","0,69",65,184,5,"0,148",145,"2,61",15,"4,09","3,49",7,0,0,0,"0,022","0,294","3,13","1,3","0,4"
