0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Lomito ahumado,,800,340,7,"0,12",340,"0,70",24,"1,8","6,50",19,0,0,0,"0,800","0,170","1,00",0,0
Longaniza,"5,5",1890,340,10,"0,16",229,"1,52",22,"4,2","5,60",2,0,0,0,"0,930","0,330","2,80",0,0
Matambre (fiambre),"1,01",61,306,13,"0,071",194,"2,07",17,"4,82","5,51",4,0,3,3,"0,071","0,192","2,32",0,"0,08"
"Milanesa de carne vacuna rebozada 
(carnicería)","2,2",212,337,45,"0,1",183,"3,69",18,"2,8","6,14",41,18,13,13,"0,259","0,256","1,62",0,"0,17"
"Milanesa de pollo rebozada (pollería 
/ granja)","1,49",199,290,47,"0,09",203,"1,48",30,"0,9","8,29",45,18,18,18,"0,280","0,250","0,29",0,"0,17"
"Milanesa de pollo, prefrita congelada","1,98",518,248,20,"0,207",196,"0,93",25,"0,94","6,63",5,0,11,11,"0,073","0,054","0,23",0,0
"Mollejas, crudas","1,38",96,360,7,"0,048",393,"2,10",14,"2,06","3,45",2,0,0,0,"0,109","0,345","2,13","34,0",0
"Mollejas, a la parrilla","1,53",116,433,10,"0,043",364,"1,49",10,"2,2","1,84",1,0,0,0,"0,084","0,225","1,51","30,2",0
"Mondongo, crudo","0,55",97,67,69,"0,07",64,"0,59",13,"1,42","0,88",5,0,0,0,0,"0,064","1,39",0,0
"Mondongo, hervido","0,6",68,42,81,0,66,"0,66",15,"1,71","0,46",3,0,0,0,0,"0,025","0,72",0,0
Morcilla,"2,31",680,38,6,"0,04",22,"6,40",8,"1,3","1,20",5,0,0,0,"0,070","0,130","1,00",0,"1,3"
Mortadela,"2,89",1246,163,18,"0,06",97,"1,40",11,"2,1","2,67",3,0,0,0,"0,119","0,153","1,48",0,"1,00"
Nuggets o patitas de pollo,"2,23",540,206,47,"0,1",165,"0,95",25,"0,78","3,28",35,0,16,11,"0,087","0,147","0,23","0,4","0,40"
"Osobuco, crudo","0,96",52,283,17,"0,073",174,"1,69",19,"3,99","5,45",8,0,2,2,"0,076","0,164","1,50",0,"0,08"
"Osobuco, hervido","1,04",51,262,13,"0,068",174,"2,11",20,"4,89","5,12",7,0,3,3,"0,066","0,179","1,58",0,"0,12"
Paleta (fiambre),,800,340,7,"0,12",340,"0,70",24,"1,8","6,50",19,0,0,0,"0,800","0,170","1,00",0,0
Panceta,"2,59",1140,201,6,"0,046",166,"0,38",13,"1,14","4,02",0,0,11,11,"0,276","0,081","0,50",0,"0,4"
Pastrón,"3,4",1078,210,10,"0,091",175,"2,22",17,"4,98","4,26",6,0,2,0,"0,052","0,161","1,87","0,3","0,16"
