0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Huevo de codorníz, entero, crudo","1,1",141,132,64,"0,062",226,"3,65",13,"1,47","0,15",66,0,156,155,"0,130","0,790","1,58",0,"1,40"
"Huevo de codorníz, entero, hervido","1,1",141,132,64,"0,062",226,"3,65",13,"1,47","0,14",50,0,156,155,"0,111","0,751","1,34",0,"1,40"
"Huevo de gallina, clara, cruda","1,1",186,142,10,"0,023",28,"0,86",11,"0,03","0,11",4,0,0,0,"0,004","0,439","0,09",0,0
"Huevo de gallina, clara, hervida","1,1",186,142,10,"0,023",28,"0,86",11,"0,03","0,10",3,0,0,0,"0,003","0,417","0,08",0,0
"Huevo de gallina, entero, crudo","0,95",135,138,56,"0,072",213,"2,53",12,"1,29","0,20",47,0,160,160,"0,080","0,523","0,89",0,"2,00"
"Huevo de gallina, entero, hervido","0,95",135,138,56,"0,072",213,"2,53",12,"1,29","0,19",35,0,160,160,"0,068","0,497","0,76",0,"2,00"
"Huevo de gallina, yema, cruda","2,6",65,114,109,"0,077",510,"5,87",5,"2,3","0,02",146,0,381,371,"0,176","0,528","1,95",0,"5,40"
"Huevo de gallina, yema, hervida","2,6",65,114,109,"0,077",510,"5,87",5,"2,3","0,02",110,0,381,371,"0,150","0,502","1,66",0,"5,40"
