0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Abadejo, crudo","1,21",91,262,21,"0,03",216,"1,90",23,"0,3","1,20",12,0,0,0,"0,061","0,325","1,10","1,1","1,40"
"Almeja, cruda","1,82",601,46,39,"0,053",198,"1,62",19,"0,51","0,35",5,0,90,90,"0,015","0,040","11,28",0,"0,04"
"Anchoa, enlatada en aceite","11,1",3668,544,232,"0,339",252,"4,63",69,"2,44","19,90",13,0,12,12,"0,078","0,363","0,88",0,"1,70"
"Atún, enlatado al natural","0,95",247,179,17,"0,05",139,"1,63",23,"0,69","10,14",4,0,17,17,"0,030","0,084","2,55",0,"1,88"
"Atún, enlatado en aceite","2,76",416,207,13,"0,071",311,"1,39",31,"0,9","12,40",5,0,23,23,"0,038","0,120","2,20",0,"1,88"
"Atún, lomito fresco, crudo","1,18",39,252,8,"0,086",254,"1,02",50,"0,6","8,65",2,0,655,655,"0,241","0,251","9,43",0,"5,67"
"Bocaditos de pescado, prefritos","0,9",380,288,75,"0,11",239,"3,15",33,"0,7","1,55",49,20,0,0,"0,178","0,290","0,86","0,8","1,21"
"Brótola, cruda","1,38",82,282,18,"0,03",207,"2,10",23,"0,3","27,20",12,0,0,0,"0,076","0,155","1,10","2,7","1,40"
"Caballa, enlatada","1,73",379,194,241,"0,147",301,"2,04",37,"1,02","6,18",5,0,130,130,"0,040","0,212","6,94","0,9","7,3"
"Calamar, crudo","1,41",44,246,32,"1,891",221,"0,68",33,"1,53","2,18",5,0,10,10,"0,020","0,412","1,30","4,7",0
Camarón,"1,23",119,264,64,"0,391",214,"0,52",35,"1,34","1,78",10,0,0,0,0,"0,050","2,30",0,0
"Cornalitos, crudos","2,15",90,296,680,"0,04",590,"2,00",40,"0,42","3,10",15,0,12,12,"0,095","0,214","2,50",0,"0,68"
"Corvina, cruda","1,28",56,345,15,"0,042",210,"0,37",40,"0,42","3,10",15,0,12,12,"0,095","0,214","2,50","2,9","0,68"
"Dorado, crudo",,47,316,40,"0,03",190,"0,50",23,"0,65","3,04",12,0,0,0,"0,291","0,233","14,32",0,"1,40"
"Gatuzo, crudo","0,57",91,262,21,"0,03",216,"1,90",23,"0,3","1,20",12,0,0,0,"0,061","0,325","1,10","1,1","1,40"
"Hamburguesa de pescado (pesca-
dería)","0,2",285,364,42,"0,06",304,"2,93",34,"0,5","1,72",29,5,6,6,"0,114","0,458","1,49","1,5","1,93"
Kani Kama,"0,72",143,112,9,"0,032",282,"0,26",43,"0,33","0,22",2,0,20,20,"0,020","0,021","1,60",0,0
Langostino,,588,74,65,"0,28",127,"1,00",36,"1,0",0,10,0,0,0,0,"0,050","2,30",0,0
"Lenguado, crudo","1,35",296,160,21,"0,019",252,"0,18",18,"0,32","1,04",5,0,10,10,"0,081","0,020","1,13",0,"3,5"
